place,rainfall,groundwater_refilled_total,groundwater_refilled_nonirrigated,groundwater_refilled_irrigated,groundwater_used_total,groundwater_used_nonirrigated,groundwater_status,land_total,land_nonirrigated,land_irrigated,year,state
chilpur,1031.24782608696,2576.45709598687,2576.45709598687,,1600.14,1600.14,safe,16322.0,15356.0,0.0,2023,Unknown
kubeer,1050.04142645545,3538.6745825426,3538.6745825426,,1710.33,1710.33,safe,27598.0,25633.552,0.0,2023,Unknown
kohir,860.76144276596,1772.4577147051,1772.4577147051,,988.15,988.15,safe,23136.33,22142.33,0.0,2023,Unknown
pudur,933.795841808566,1675.75722425467,1675.75722425467,,879.44,879.44,safe,20139.0,20139.0,0.0,2023,Unknown
luxettipet,1076.12927026518,4878.254166375889,228.999203116699,4649.25496325919,1444.51,1.44,safe,15732.0,1460.0,14086.0,2023,Unknown
sadasivpet,815.516578474103,2404.26080009258,2404.26080009258,,950.84,950.84,safe,24555.93,22569.93,0.0,2023,Unknown
navipet,1037.05640286859,6914.6745649954,85.3399141760379,6829.33465081936,2761.74,117.42,safe,19790.65,858.0,18057.65,2023,Unknown
akbarpet-bhoompally,783.804197118181,2127.81808916683,2127.81808916683,,1592.49,1592.49,semi_critical,10783.667842,10248.267842,0.0,2023,Telangana
karimnagar,930.446027171783,548.157552449379,548.157552449379,,33.02,33.02,safe,3562.0,3550.8,0.0,2023,Telangana
thungathurthi,859.222484219691,1431.48899688594,1431.48899688594,,728.24,728.24,safe,13852.0,13783.0,0.0,2023,Unknown
ramayampet,937.55722789505,2707.41667429089,2707.41667429089,,1596.66,1596.66,safe,14150.0,13103.4,0.0,2023,Unknown
elgaid,962.020039153413,2519.42505140262,,2519.42505140262,1005.76,,safe,7632.3,0.0,7369.3,2023,Unknown
adavi devula palli,755.50742606718,2687.88287420635,,2687.88287420635,883.67,,safe,12746.0,0.0,12746.0,2023,Andhra Pradesh
gangadhara,899.269816082179,3532.91658782518,1891.23297782305,1641.68361000214,2139.51,1424.52,safe,15064.5,9008.9,3967.0,2023,Madhya Pradesh
addagudur,794.116673101943,2891.92633691182,2891.92633691182,,1975.43,1975.43,semi_critical,14528.2274008981,14528.2274008981,0.0,2023,Andhra Pradesh
gadwal,601.014621576298,5429.96469812298,226.676672299835,5203.28802582315,1009.35,151.26,safe,30528.0,2600.02,27781.93,2023,Unknown
dilawarpur,1079.56779780946,2358.05093965825,2358.05093965825,,855.93,855.93,safe,15717.0,12809.992,0.0,2023,Unknown
secunderabad,830.089472959324,315.66467725645,315.66467725645,,291.0,291.0,over_exploited,1072.0,1072.0,0.0,2023,Unknown
peddamandadi,622.706911455603,5606.37181615714,5606.37181615714,,1832.36,1832.36,safe,17800.0,17547.0,0.0,2023,Unknown
pegadapalle,1029.79195697329,4009.38855472366,102.684810024252,3906.7037446994,1181.33,72.76,safe,13691.29,1052.0,11698.28,2023,Unknown
sultanabad,973.970012691942,5975.85480823855,15.4919741100324,5960.36283412852,2052.02,21.03,safe,16768.0,155.0,15721.0,2023,Unknown
khanpur,1082.14135458852,7712.45068616757,2483.74308206326,5228.70760410431,1574.76,386.73,safe,26685.0,11023.188,14493.864,2023,Unknown
masaipet,899.829757630685,947.989838853925,947.989838853925,,683.1,683.1,semi_critical,6303.245,5577.645,0.0,2023,Unknown
thimmajipeta,587.632208741265,3207.29625159249,1580.96188529309,1626.3343662994,1526.98,1061.01,safe,20318.762689673,10741.8666419819,8387.85095369114,2023,Unknown
narsimhulapet,1017.83626589642,2151.63388665076,,2151.63388665076,1103.36,,safe,10087.598998134,0.0,9986.72300815266,2023,Unknown
nanganur,765.749855036955,3794.76687676636,3794.76687676636,,2070.02,2070.02,safe,17658.47361,16800.07361,0.0,2023,Unknown
himayatnagar,830.089472959324,191.990083555229,191.990083555229,,202.58,202.58,over_exploited,652.0,652.0,0.0,2023,Unknown
chegunta,902.051142317414,2140.50757333874,2140.50757333874,,1498.06,1498.06,semi_critical,13178.755,12013.955,0.0,2023,Unknown
varni,1061.81794139757,5626.22188153454,476.551827127994,5149.67005440654,2722.57,293.59,safe,14511.0,2695.0,11246.0,2023,Unknown
jajireddigudem,805.217236671936,2017.13059247611,2017.13059247611,,724.11,724.11,safe,13961.0,13918.0,0.0,2023,Unknown
mootakondur,746.188633233244,2514.33505065997,2514.33505065997,,2124.24,2124.24,critical,16458.5796210175,16458.5796210175,0.0,2023,Unknown
bonakal,989.600322579603,4523.29191581898,,4523.29191581898,888.47,,safe,16198.13,0.0,15906.0274,2023,Unknown
talakondapalle,628.652901840378,2680.24322014341,2680.24322014341,,1482.29,1482.29,safe,24638.0,23137.019626,0.0,2023,Unknown
jagadevpur,758.290235739865,3060.0739662884,3060.0739662884,,1864.65,1864.65,safe,16327.05667,15279.25667,0.0,2023,Unknown
chilipched,854.1,2446.19968740559,2446.19968740559,,975.3,975.3,safe,7492.425,7492.425,0.0,2023,Unknown
kalluru,1040.33035847204,11393.3377956285,577.735068210134,10815.6027274184,1878.87,209.34,safe,24526.66,2983.6982,21059.0586,2023,Unknown
rajoli,565.478868594247,2392.63506739229,,2392.63506739229,569.55,,safe,13523.0,0.0,13523.0,2023,Unknown
mirdoddi,782.938099216756,1891.87898915843,1891.87898915843,,1517.17,1517.17,semi_critical,9774.785644,9648.585644,0.0,2023,Unknown
bheemini,1067.27599788093,2025.28774404775,2025.28774404775,,650.97,650.97,safe,13913.0,12762.0,0.0,2023,Unknown
moinabad,794.930717145582,2126.07945176723,2126.07945176723,,1292.44,1292.44,safe,21373.255824,20960.476104,0.0,2023,Unknown
chinna_chintha_kunta,579.754873890809,1461.84994213686,1461.84994213686,,749.85,749.85,safe,13241.7025495751,12801.7040631323,0.0,2023,Unknown
addakal,680.851744218821,1707.49416999184,1707.49416999184,,1125.22,1125.22,semi_critical,13096.8883043302,12580.3883043302,0.0,2023,Andhra Pradesh
peddakothapalle,640.934325512824,6002.15935786603,3742.66504694031,2259.49431092572,2088.96,1473.92,safe,40352.0,31078.0,8263.0,2023,Maharashtra
dichpalle,1028.64842575939,3723.352867448551,1729.93199873384,1993.42086871471,1764.81,1179.94,safe,16369.04,9719.2,5897.0,2023,Unknown
mugpal,1069.00154796008,3202.06958459478,2427.62088816991,774.448696424864,1605.08,1068.83,safe,19065.68,16443.0,2107.0,2023,Unknown
yeldurthy,854.008279746144,2486.57949152683,2486.57949152683,,1436.68,1436.68,safe,16477.0,14275.8,0.0,2023,Unknown
chennur,1090.33407355121,11602.2619020089,7949.15153551542,3653.11036649349,2620.34,1723.47,safe,36485.0,24595.0,9927.0,2023,Unknown
palakeedu,732.553012424516,2307.42382414102,,2307.42382414102,432.02,,safe,14407.0,0.0,14407.0,2023,Unknown
jangaon,849.011399446162,2731.57639291978,2470.70499384243,260.871399077352,2309.21,2167.25,critical,18068.0,16637.0,1189.0,2023,Unknown
beerpur,1003.89037742797,2197.01864353361,,2197.01864353361,475.66,,safe,15307.0,0.0,13674.0,2023,Unknown
dandepalle,1077.01625012227,8494.52350085997,0.0,8494.52350085997,2420.98,,safe,26487.0,0.0,25736.136,2023,Unknown
vikarabad,891.151270116417,2751.66838661658,2751.66838661658,,1042.83,1042.83,safe,24800.1,24800.1,0.0,2023,Unknown
manakondur,894.592583741335,12258.2449798287,555.332557962172,11702.9124218665,2387.25,231.22,safe,20629.0,1839.0,18790.0,2023,Unknown
kouthala,1183.90076096768,2045.36574536301,2045.36574536301,,494.5,494.5,safe,16101.0,14679.0,0.0,2023,Unknown
bhupalpalle,1208.76800305458,6408.81327156167,3960.2750819777502,2448.53818958392,2932.06,1966.45,safe,23072.89,13658.59,9414.3,2023,Unknown
parvathagiri,934.312055000612,5151.75417872256,,5151.75417872256,2682.33,,safe,16142.1561404,0.0,15656.9972791892,2023,Unknown
hathanoora,879.699461717781,2575.31137801975,2575.31137801975,,1420.82,1420.82,safe,21224.18,20457.67,0.0,2023,Unknown
konijerla,1077.34493576469,4916.01601841269,,4916.01601841269,1173.04,,safe,24453.84,0.0,23964.7632,2023,Unknown
ramadugu,894.544607266697,3011.53649085338,2601.90209563849,409.634395214887,1786.98,1650.83,safe,13336.0,12331.0,935.0,2023,Unknown
madugulapally,765.248198358824,5385.70370409702,745.469009010834,4640.23469508618,2223.24,458.99,safe,21999.0,4506.0,17493.0,2023,Unknown
penchikalpet,1191.74162529707,3511.49336237401,3511.49336237401,,1013.65,1013.65,safe,21871.0,18418.0,0.0,2023,Unknown
manoor,834.054813208782,1163.04499287491,1163.04499287491,,319.46,319.46,safe,14673.73,12691.46,0.0,2023,Unknown
velgatoor,1053.87885949729,3365.50687458331,,3365.50687458331,567.63,,safe,12861.93,0.0,11989.49,2023,Unknown
julurpad,1122.25431040372,3266.52860653051,3266.52860653051,,1985.7,1985.7,safe,23490.7874751053,22316.2481013501,0.0,2023,Unknown
kondapur,808.146893038143,1586.93183595831,1586.93183595831,,886.72,886.72,safe,15020.53,14228.53,0.0,2023,Unknown
ranjal,1026.23677943133,2795.0065947091,182.118161837209,2612.88843287189,735.79,71.36,safe,11219.0,1831.0,9388.0,2023,Unknown
mogdampalle,958.570681410867,1249.98186175481,1249.98186175481,,664.09,664.09,safe,17322.46,15768.46,0.0,2023,Unknown
maripeda,1052.64817173099,4605.95621400959,,4605.95621400959,2386.79,,safe,24545.398244226,0.0,24299.9442617837,2023,Unknown
bejjur,1294.05769186204,4229.5761808198,4229.5761808198,,406.82,406.82,safe,30968.0,25030.0,0.0,2023,Unknown
kollapur,647.395004011378,8260.23852425228,3980.16959444867,4280.06892980361,969.19,325.3,safe,69785.0,53651.0,14904.0,2023,Unknown
mancherial,1078.03188136557,830.667940800469,830.667940800469,,396.96,396.96,safe,3554.0,3554.0,0.0,2023,Unknown
kammarpalle,973.012624295801,3227.31790803951,2653.67104918947,573.646858850031,2051.29,1841.97,safe,23080.85,20668.85,1878.0,2023,Telangana
manoharabad,794.081511619542,1272.23671495773,1272.23671495773,,893.08,893.08,semi_critical,8777.43,8757.23,0.0,2023,Unknown
mamda,1039.66618199,8095.88849951001,3455.802056854,4640.08644265601,1636.7,859.4,safe,30956.0,18905.778,9981.04,2023,Unknown
bazarhathnoor,1173.70932259361,2388.54439997283,2388.54439997283,,1317.27,1317.27,safe,24967.0,22947.4,0.0,2023,Unknown
sangem,955.946950124042,3757.98061624548,,3757.98061624548,1903.3,,safe,15864.095886,0.0,15388.17300942,2023,Unknown
chityal,1123.0074886546,5304.12945923644,,5304.12945923644,2651.67,,safe,20278.1,0.0,20278.1,2023,Unknown
koheda,862.862965734498,3220.44499821095,3220.44499821095,,2057.69,2057.69,semi_critical,21276.771136,18996.191136,0.0,2023,Unknown
nizamabad_north,1055.4534510791,1307.59478925395,60.0965093934877,1247.49827986046,154.25,55.08,safe,3815.95,421.95,3394.0,2023,Telangana
sarangapur,1068.72711263582,6124.6173926717,2640.96046430768,3483.65692836402,1302.26,623.46,safe,27867.0,13526.752,8696.528,2023,Unknown
thirumalayapalem,1010.4,5033.19683368348,5033.19683368348,,3678.25,3678.25,semi_critical,23354.0,23024.575,0.0,2023,Unknown
raikode,837.243010329788,1741.22907127116,1741.22907127116,,351.15,351.15,safe,21849.6451,19735.2251,0.0,2023,Unknown
lingapur,1171.34401350234,2842.83783273629,2842.83783273629,,159.49,159.49,safe,15662.0,15522.0,0.0,2023,Unknown
charakonda,593.545495672699,2027.47219336281,1430.72689841879,596.745294944016,938.66,742.17,safe,15737.0,12111.0,3141.0,2023,Unknown
sathupalle,1133.49747392061,7345.996549732809,3161.57654973281,4184.42,3420.35,1429.07,safe,26912.06,16062.2588,10311.56,2023,Unknown
tirumalgiri,830.089472959324,1181.68129648334,1181.68129648334,,807.5,807.5,semi_critical,4013.0,4013.0,0.0,2023,Unknown
nelakondapalle,992.0,5045.05511280695,,5045.05511280695,2043.47,,safe,18403.79,0.0,18035.7142,2023,Unknown
akkannapeta,902.317762060658,3073.45831772049,3073.45831772049,,1904.73,1904.73,safe,18247.696426,17126.156426,0.0,2023,Andhra Pradesh
sirikonda,1195.78141383906,1995.42150471672,1995.42150471672,,658.62,658.62,safe,20070.0,19338.6,0.0,2023,Unknown
kagaznagar,1154.63077193211,4504.05357865222,1203.59914535718,3300.45443329504,1248.35,259.2,safe,23304.0,6424.0,14233.0,2023,Unknown
chilkur,793.441773136085,2355.25388286243,,2355.25388286243,524.13,,safe,11897.0,0.0,11897.0,2023,Unknown
hasanparthy,982.741852641891,4788.39293556835,1393.12651231214,3395.26642325621,2379.46,659.56,safe,15985.46,7105.11,8400.73,2023,Unknown
pargi,1080.94493103607,3195.85590835334,3195.85590835334,,1305.5,1305.5,safe,22275.0,22275.0,0.0,2023,Unknown
shayampet,1123.34828066352,4661.83639857056,,4661.83639857056,2018.23,,safe,11742.32,0.0,11271.3,2023,Unknown
ramannapeta,734.25754605906,6922.12930231048,1364.87055437686,5557.25874793362,2243.84,589.91,safe,22933.8548719437,9203.7439288551,13730.1109430886,2023,Unknown
shankarampet_a,858.5,1734.57819604157,1734.57819604157,,1233.75,1233.75,semi_critical,13065.67,12976.67,0.0,2023,Unknown
