place,rainfall,groundwater_refilled_total,groundwater_refilled_nonirrigated,groundwater_refilled_irrigated,groundwater_used_total,groundwater_used_nonirrigated,groundwater_status,land_total,land_nonirrigated,land_irrigated,year,state
waraseoni,1471.6,4183.75,2525.46,1658.29,2011.89,1417.61,safe,47603.0,29171.0,15232.0,2023,Madhya Pradesh
nalchha,902.3,12440.46,12158.89,281.57,13891.77,13796.37,over_exploited,78400.0,77425.0,975.0,2023,Madhya Pradesh
kolaras,994.9,11040.03,11040.03,0.0,7987.09,7987.09,semi_critical,115200.0,107491.0,0.0,2023,Madhya Pradesh
raghogarh,1082.0,21183.87,16487.16,4696.71,12487.63,11902.89,safe,124136.0,103752.0,14384.0,2023,Madhya Pradesh
pansemal,742.5,6748.82,5722.2,1026.62,8468.23,8238.37,over_exploited,59040.0,24691.0,4489.0,2023,Madhya Pradesh
tonkkhurd,1069.0,11184.35,11184.35,0.0,6143.87,6143.87,safe,67900.0,62430.0,0.0,2023,Madhya Pradesh
gohad,951.0,22501.43,13751.46,8749.97,6959.91,5912.43,safe,102800.0,60030.0,42770.0,2023,Madhya Pradesh
aron,1082.0,11905.59,11905.59,0.0,7878.13,7878.13,safe,78883.0,78883.0,0.0,2023,Madhya Pradesh
jirapur,999.6,13326.67,13326.67,0.0,9835.89,9835.89,semi_critical,84498.0,84498.0,0.0,2023,Madhya Pradesh
parasia,1221.6,8617.13,8617.13,0.0,5158.64,5158.64,safe,78700.0,69020.0,0.0,2023,Madhya Pradesh
dhanora,1323.6,4563.99,3596.0,967.99,1364.58,1332.01,safe,66700.0,48949.0,11951.0,2023,Madhya Pradesh
amla,1081.3,14174.22,12456.48,1717.74,7453.5,6877.3,safe,112000.0,101862.0,6438.0,2023,Madhya Pradesh
betul,1081.3,13941.67,12477.27,1464.4,10999.83,10517.59,semi_critical,115000.0,99160.0,3840.0,2023,Madhya Pradesh
ratlam,953.5,25302.62,25302.62,0.0,31397.93,31397.93,over_exploited,133100.0,133100.0,0.0,2023,Madhya Pradesh
bichhiya,1445.1,8196.23,6872.33,1323.9,1600.24,1418.26,safe,109900.0,82882.0,5038.0,2023,Madhya Pradesh
maheshwar,950.3,12034.85,6248.63,5786.22,5186.94,4538.12,safe,82620.0,58486.0,24134.0,2023,Madhya Pradesh
narayanganj,1445.1,2844.94,2844.94,0.0,987.9,987.9,safe,44000.0,35200.0,0.0,2023,Madhya Pradesh
alirajpur,836.2,5537.26,5537.26,0.0,1906.0,1906.0,safe,66400.0,63900.0,0.0,2023,Madhya Pradesh
dhimar kheda,1171.4,5687.49,5687.49,0.0,1768.68,1768.68,safe,92500.0,84120.0,0.0,2023,Madhya Pradesh
udaigarh,836.2,2409.61,2409.61,0.0,1081.36,1081.36,safe,37000.0,34300.0,0.0,2023,Madhya Pradesh
ujjain,912.5,13497.7,13497.7,0.0,19038.4,19038.4,over_exploited,75964.0,75964.0,0.0,2023,Madhya Pradesh
sheopur,799.2,32266.71,9015.45,23251.26,6331.11,4938.73,safe,142600.0,82450.0,60150.0,2023,Madhya Pradesh
bhopal urban,1106.7,5240.26,5240.26,0.0,3833.15,3833.15,semi_critical,42500.0,38293.0,0.0,2023,Madhya Pradesh
pawai,1182.9,10468.64,9423.53,1045.11,3753.96,3627.88,safe,157576.0,132338.0,4738.0,2023,Madhya Pradesh
tamia,1221.6,5563.98,5563.98,0.0,1097.98,1097.98,safe,153800.0,51702.0,0.0,2023,Madhya Pradesh
jawa,1143.1,8323.28,8323.28,0.0,3143.81,3143.81,safe,81400.0,73400.0,0.0,2023,Madhya Pradesh
hatta,1176.0,3351.18,2572.65,778.53,1852.5,1788.05,safe,86500.0,45102.0,3998.0,2023,Madhya Pradesh
bamori,1082.0,18348.96,14711.08,3637.88,10203.86,9843.87,safe,158848.0,145508.0,12640.0,2023,Madhya Pradesh
khargone,950.3,6433.67,4637.25,1796.42,4568.66,4144.19,semi_critical,49440.0,35930.0,13510.0,2023,Madhya Pradesh
kurwai,1135.3,12440.47,12440.47,0.0,8787.01,8787.01,semi_critical,83100.0,81000.0,0.0,2023,Madhya Pradesh
sondwa,836.2,8169.84,8169.84,0.0,2108.49,2108.49,safe,92200.0,87400.0,0.0,2023,Madhya Pradesh
bhabra,836.2,1940.72,1940.72,0.0,1286.01,1286.01,safe,34000.0,31300.0,0.0,2023,Madhya Pradesh
narwar,994.9,9510.25,7507.16,2003.09,6325.16,5793.21,semi_critical,98400.0,80183.0,12617.0,2023,Madhya Pradesh
jaora,753.0,10914.48,3654.17,7260.31,3680.01,1832.91,safe,68595.0,27742.0,29553.0,2023,Madhya Pradesh
dabra,879.0,21231.36,5854.18,15377.18,4255.44,2331.64,safe,97400.0,31200.0,60100.0,2023,Madhya Pradesh
umarvan,902.3,9410.66,3098.79,6311.87,2435.71,1303.51,safe,47900.0,23140.0,24760.0,2023,Madhya Pradesh
hanumana,1143.1,7300.04,7300.04,0.0,2226.4,2226.4,safe,96070.0,90470.0,0.0,2023,Madhya Pradesh
patharia,1176.0,6373.87,6051.77,322.1,4714.23,4639.76,semi_critical,97000.0,85954.0,4383.0,2023,Madhya Pradesh
majholi,1154.15,5476.44,5476.44,0.0,2022.65,2022.65,safe,73700.0,66784.0,0.0,2023,Madhya Pradesh
indore urban,941.4,6418.67,6418.67,0.0,5957.66,5957.66,critical,53000.0,53000.0,0.0,2023,Madhya Pradesh
keolari,1323.6,6873.74,4811.9,2061.84,1751.37,1567.67,safe,82700.0,51840.0,25430.0,2023,Madhya Pradesh
pahadgarh,753.0,8464.83,3573.22,4891.61,2714.45,2171.94,safe,92200.0,47800.0,25200.0,2023,Madhya Pradesh
gandhwani,902.3,13009.43,6516.9,6492.53,3644.27,3326.48,safe,73600.0,62867.0,10733.0,2023,Madhya Pradesh
shujalpur,1036.1,14042.91,14042.91,0.0,13717.33,13717.33,over_exploited,82567.0,81567.0,0.0,2023,Madhya Pradesh
bhimpur,1081.3,9805.17,9805.17,0.0,2830.01,2830.01,safe,115000.0,97800.0,0.0,2023,Madhya Pradesh
ichhawar,1217.7,8163.07,6591.55,1571.52,5343.97,4983.45,safe,111085.0,40483.0,12022.0,2023,Madhya Pradesh
karanjiya,1376.7,4779.92,4779.92,0.0,503.18,503.18,safe,70600.0,56480.0,0.0,2023,Madhya Pradesh
bahoriband,1171.4,9107.84,7900.12,1207.72,3288.65,3147.99,safe,97900.0,88552.0,9348.0,2023,Madhya Pradesh
datia,963.8,10299.82,7012.97,3286.85,4928.25,3424.12,safe,110900.0,66163.0,42937.0,2023,Madhya Pradesh
amarpur,1376.7,3544.85,3544.85,0.0,378.7,378.7,safe,56000.0,44800.0,0.0,2023,Madhya Pradesh
bankhedi,1437.7,20905.56,20905.56,0.0,15736.47,15736.47,semi_critical,78900.0,66900.0,0.0,2023,Unknown
buxwaha,1095.1,6927.98,6649.07,278.91,5289.66,5180.25,semi_critical,90033.0,77395.0,1718.0,2023,Unknown
indore,941.4,8909.3,8909.3,0.0,11833.81,11833.81,over_exploited,51000.0,49821.0,0.0,2023,Madhya Pradesh
rajpur,742.5,11240.53,7016.79,4223.74,9024.39,7632.88,semi_critical,77390.0,51623.0,21413.0,2023,Madhya Pradesh
jamai,1221.6,11825.12,11825.12,0.0,4206.88,4206.88,safe,142400.0,96604.0,0.0,2023,Unknown
bijadandi,1445.1,4322.07,4322.07,0.0,443.05,443.05,safe,76100.0,60880.0,0.0,2023,Unknown
rithi,1171.4,4144.63,3759.09,385.54,1823.53,1741.71,safe,63500.0,45770.0,5500.0,2023,Unknown
teonthar,1143.1,10767.5,10767.5,0.0,4322.19,4322.19,safe,79690.0,73690.0,0.0,2023,Unknown
nowgaon,1095.1,9692.43,7544.85,2147.58,7167.64,6801.81,semi_critical,91368.0,66228.0,16033.0,2023,Unknown
mohgaon,1445.1,2584.23,2584.23,0.0,1321.34,1321.34,safe,41900.0,32780.0,0.0,2023,Unknown
tirla,902.3,7901.52,7901.52,0.0,7193.84,7193.84,critical,53400.0,53400.0,0.0,2023,Unknown
morena,753.0,15458.57,6326.82,9131.75,6891.41,3771.85,safe,106700.0,55615.0,45485.0,2023,Madhya Pradesh
gotegaon,1243.1,22246.45,15992.72,6253.73,12355.54,11822.12,safe,72800.0,51900.0,20900.0,2023,Unknown
kundam,1227.3,4561.56,4561.56,0.0,1398.2,1398.2,safe,121000.0,83200.0,0.0,2023,Unknown
barwani,742.5,6808.08,4446.89,2361.19,3460.85,3014.95,safe,76710.0,41248.0,14552.0,2023,Unknown
mehgaon,951.0,23423.64,15450.11,7973.53,6354.04,5139.85,safe,96900.0,65643.0,31257.0,2023,Unknown
shahpura,1227.3,10500.15,6526.56,3973.59,6300.21,4789.23,safe,53121.0,29275.0,17834.0,2023,Unknown
harsud,950.3,5719.52,5719.52,0.0,2926.86,2926.86,safe,100050.0,53847.0,0.0,2023,Unknown
badnagar,912.5,20636.79,20636.79,0.0,26352.67,26352.67,over_exploited,123595.0,123595.0,0.0,2023,Unknown
kusmi,1154.15,8353.38,8353.38,0.0,2049.17,2049.17,safe,133400.0,70617.0,0.0,2023,Unknown
jaithari,1423.6,9017.34,9017.34,0.0,1437.71,1437.71,safe,97000.0,84000.0,0.0,2023,Unknown
gairatganj,1237.6,9473.14,9473.14,0.0,5541.99,5541.99,safe,92000.0,74600.0,0.0,2023,Unknown
badarwas,994.9,12552.39,11672.2,880.19,9188.36,8958.25,semi_critical,121600.0,111752.0,3424.0,2023,Unknown
maiihar,1075.5,7470.77,7470.77,0.0,5969.83,5969.83,semi_critical,112572.0,94400.0,0.0,2023,Unknown
sanchi,1237.6,13923.42,13923.42,0.0,8076.84,8076.84,safe,136000.0,105000.0,0.0,2023,Unknown
jabera,1176.0,6199.8,2875.64,3324.16,2543.18,2362.06,safe,126200.0,51362.0,12038.0,2023,Unknown
sironj,1135.3,14873.23,12536.07,2337.16,9420.38,9230.39,safe,125500.0,89945.0,13755.0,2023,Unknown
meghnagar,849.1,3479.27,3479.27,0.0,1871.25,1871.25,safe,50200.0,45400.0,0.0,2023,Unknown
hoshangabad,1437.7,29975.96,17.7,29958.26,4155.55,,safe,66900.0,0.0,57400.0,2023,Madhya Pradesh
panna,1182.9,12830.57,11369.56,1461.01,3667.16,3462.41,safe,205253.0,184839.0,13514.0,2023,Madhya Pradesh
ghansaur,1323.6,6358.09,6358.09,0.0,1789.53,1789.53,safe,96300.0,83790.0,0.0,2023,Unknown
rampur karchuliyan,1143.1,5076.24,2907.34,2168.9,3403.78,2492.75,semi_critical,62810.0,40387.0,19423.0,2023,Unknown
paraswada,1471.6,8791.41,8791.41,0.0,395.66,395.66,safe,124050.0,116750.0,0.0,2023,Unknown
pati,742.5,2850.12,2638.8,211.32,1762.74,1709.66,safe,71220.0,21552.0,1040.0,2023,Punjab
neemuch,850.2,14664.09,13963.23,700.86,15139.76,14688.97,over_exploited,108500.0,98862.0,4638.0,2023,Madhya Pradesh
rajgarh,999.6,17201.44,17201.44,0.0,11868.89,11868.89,semi_critical,110500.0,110500.0,0.0,2023,Madhya Pradesh
sarangpur,999.6,14776.05,14776.05,0.0,15133.22,15133.22,over_exploited,90500.0,90500.0,0.0,2023,Unknown
moman badodiya,1036.1,14489.54,14489.54,0.0,16856.87,16856.87,over_exploited,90405.0,88176.0,0.0,2023,Unknown
khchrod,1100.9,19804.97,19804.97,0.0,13606.42,13606.42,semi_critical,129268.0,110178.0,0.0,2023,Unknown
bhitarwar,879.0,25448.94,6097.51,19351.43,5734.08,3305.34,safe,90000.0,30767.0,53133.0,2023,Unknown
damoh,1176.0,8137.22,6245.59,1891.63,3634.36,3480.52,safe,130400.0,71085.0,13815.0,2023,Madhya Pradesh
bhikangaon,950.3,13073.05,8772.34,4300.71,5365.9,4811.56,safe,91480.0,73772.0,17708.0,2023,Unknown
naigarhi,1143.1,2752.74,2752.74,0.0,1804.39,1804.39,safe,37790.0,35790.0,0.0,2023,Unknown
dindori,1376.7,6135.31,6135.31,0.0,702.25,702.25,safe,117700.0,94160.0,0.0,2023,Unknown
khaknar,883.8,17223.28,15728.08,1495.2,11216.0,10953.34,safe,144700.0,134627.0,5423.0,2023,Unknown
dharmpuri,902.3,8423.42,1721.12,6702.3,2371.76,1063.17,safe,42900.0,14169.0,28731.0,2023,Madhya Pradesh
rahatgarh,1197.6,10170.26,9897.77,272.49,5518.58,5459.87,safe,98500.0,87097.0,1971.0,2023,Unknown
berasia,1106.7,19380.76,19380.76,0.0,14516.37,14516.37,semi_critical,142400.0,136400.0,0.0,2023,Unknown
mohkheda,1221.6,10934.02,8585.14,2348.88,7984.3,7395.57,semi_critical,77500.0,64506.0,6380.0,2023,Unknown
prabhat pattan,1081.3,12221.05,10776.62,1444.43,2413.18,2196.36,safe,113300.0,103274.0,3326.0,2023,Unknown
jawad,850.2,11775.07,11061.38,713.69,12752.73,12385.81,over_exploited,161944.0,150442.0,6502.0,2023,Madhya Pradesh
sabalgarh,753.0,12872.83,6064.11,6808.72,4396.87,3271.34,safe,71000.0,39000.0,19000.0,2023,Unknown
shivpuri,994.9,15042.54,14501.65,540.89,8224.42,8089.9,safe,195600.0,181286.0,2750.0,2023,Madhya Pradesh
bichhua,1221.6,6596.88,6596.88,0.0,3061.91,3061.91,safe,52700.0,41384.0,0.0,2023,Unknown
tikamgarh,1070.3,11571.22,9122.53,2448.69,8605.06,7511.03,semi_critical,86760.0,74791.0,10169.0,2023,Madhya Pradesh
panagar,1227.3,8322.33,6236.03,2086.3,5477.07,5158.88,safe,26680.0,19180.0,7500.0,2023,Unknown
sitamau,880.9,18129.47,16522.17,1607.3,21830.84,21022.57,over_exploited,127629.0,116333.0,9738.0,2023,Unknown
thikri,742.5,15118.81,6670.97,8447.84,7435.62,6764.72,safe,75700.0,54442.0,17473.0,2023,Unknown
birsa,1471.6,10687.14,10687.14,0.0,510.95,510.95,safe,141543.0,135798.0,0.0,2023,Unknown
gogawan,950.3,5893.89,3993.79,1900.1,3125.59,2553.28,safe,40710.0,31017.0,9693.0,2023,Unknown
vijaypur,799.2,9942.35,8491.48,1450.87,6849.31,6172.29,semi_critical,289300.0,152700.0,11000.0,2023,Unknown
lateri,1135.3,10404.25,10404.25,0.0,5157.24,5157.24,safe,98600.0,89200.0,0.0,2023,Unknown
vidisha,1135.3,19277.31,11534.2,7743.11,9515.17,8148.36,safe,107400.0,66190.0,40080.0,2023,Madhya Pradesh
guna,1082.0,17771.52,16660.29,1111.23,10870.46,10620.29,safe,157815.0,139347.0,4768.0,2023,Madhya Pradesh
sohawal,1075.5,10235.4,8882.79,1352.61,7487.87,7294.0,semi_critical,77192.0,66750.0,10442.0,2023,Unknown
ajaigarh,1182.9,17456.81,16430.38,1026.43,6715.21,6468.13,safe,91055.0,87168.0,2762.0,2023,Madhya Pradesh
dahi,902.3,9354.85,5901.96,3452.89,3197.52,3076.0,safe,48200.0,45268.0,2932.0,2023,Unknown
rama,849.1,2968.1,2968.1,0.0,1562.44,1562.44,safe,59400.0,45700.0,0.0,2023,Telangana
murwara,1171.4,7257.19,5821.28,1435.91,3856.43,3594.9,safe,66200.0,56922.0,9278.0,2023,Unknown
begamganj,1237.6,11439.4,11439.4,0.0,6117.95,6117.95,safe,91200.0,89300.0,0.0,2023,Unknown
bagli,1069.0,22229.13,21740.82,488.31,14068.77,13953.75,safe,204540.0,177000.0,3848.0,2023,Unknown
burhar,1226.0,14049.68,14049.68,0.0,1556.67,1556.67,safe,134700.0,111400.0,0.0,2023,Unknown
narsinghgarh,999.6,18533.48,18533.48,0.0,16799.2,16799.2,critical,136800.0,136800.0,0.0,2023,Unknown
manawar,902.3,10730.75,2940.09,7790.66,3642.83,1805.14,safe,55500.0,23945.0,31555.0,2023,Unknown
chanderi,926.0,7771.85,6943.74,828.11,5245.82,5015.88,semi_critical,113070.0,104071.0,4799.0,2023,Unknown
seoni,1323.6,11786.5,9758.34,2028.16,7496.87,6886.24,safe,136300.0,106910.0,22290.0,2023,Madhya Pradesh
chawarpatha,1243.1,24412.12,24412.12,0.0,15427.76,15427.76,safe,93300.0,91900.0,0.0,2023,Unknown
menhadwani,1376.7,4357.11,4357.11,0.0,466.73,466.73,safe,68500.0,52800.0,0.0,2023,Unknown
sirmour,1143.1,5920.02,4056.27,1863.75,3911.77,2747.84,safe,91320.0,64810.0,21510.0,2023,Unknown
batiyagarh,1176.0,7464.88,6882.31,582.57,4749.84,4621.78,safe,122500.0,85087.0,4095.0,2023,Unknown
ghughari,1445.1,6143.73,6143.73,0.0,515.26,515.26,safe,110100.0,88080.0,0.0,2023,Unknown
ghatia,1100.9,13390.75,13390.75,0.0,15972.58,15972.58,over_exploited,64163.0,64163.0,0.0,2023,Unknown
niwas,1445.1,3578.51,3578.51,0.0,952.81,952.81,safe,84600.0,38880.0,0.0,2023,Unknown
ramnagar,1075.5,6145.72,6145.72,0.0,2367.84,2367.84,safe,60054.0,50354.0,0.0,2023,Unknown
rampur naikin,1154.15,6862.82,5148.21,1714.61,2397.94,2231.68,safe,119400.0,77944.0,17110.0,2023,Unknown
rewa,1143.1,5845.59,3449.41,2396.18,3841.97,2838.5,safe,70420.0,45412.0,25008.0,2023,Madhya Pradesh
waidhan,1175.6,15974.64,15124.7,849.94,6896.97,6643.83,safe,190400.0,135448.0,4452.0,2023,Unknown
karkeli,1250.6,10333.7,10333.7,0.0,2629.6,2629.6,safe,173000.0,156000.0,0.0,2023,Unknown
anuppur,1423.6,7497.01,7497.01,0.0,1166.22,1166.22,safe,59000.0,55700.0,0.0,2023,Unknown
deosar,1175.6,12363.17,12136.65,226.52,3583.75,3510.59,safe,182200.0,137960.0,2150.0,2023,Unknown
malthon,1197.6,7608.62,7423.19,185.43,3550.37,3525.64,safe,83800.0,76901.0,979.0,2023,Unknown
karera,994.9,8435.88,6557.88,1878.0,4408.91,3702.79,safe,101400.0,86878.0,13022.0,2023,Unknown
beohari,1220.94765925926,6436.43,5717.89,718.54,1504.48,1430.83,safe,111000.0,89453.0,5047.0,2023,Unknown
gohparu,1226.0,8777.27,8777.27,0.0,555.76,555.76,safe,93500.0,81000.0,0.0,2023,Unknown
rajnagar,1095.1,17679.09,14789.44,2889.65,10017.16,9354.27,safe,137835.0,106271.0,24804.0,2023,Unknown
bhanpura,880.9,7832.12,4530.24,3301.88,6316.61,4843.26,semi_critical,105118.0,30058.0,20590.0,2023,Unknown
mandsaur,880.9,16585.17,15441.39,1143.78,17635.2,17172.81,over_exploited,126608.0,120700.0,4986.0,2023,Madhya Pradesh
patera,1176.0,4092.72,3462.13,630.59,2534.66,2435.22,safe,72300.0,51849.0,5851.0,2023,Unknown
sausar,1221.6,8500.64,7257.53,1243.11,3992.03,3727.51,safe,80800.0,62382.0,6931.0,2023,Unknown
amarwara,1221.6,11306.56,11306.56,0.0,6317.66,6317.66,safe,102200.0,93955.0,0.0,2023,Unknown
nateran,1135.3,12183.74,9168.46,3015.28,6738.25,6570.03,safe,113000.0,77489.0,20211.0,2023,Unknown
basoda,1135.3,14574.24,14189.52,384.72,9347.11,9053.32,safe,122300.0,106559.0,2241.0,2023,Unknown
obedullaganj,1237.6,10117.49,10117.49,0.0,8212.04,8212.04,semi_critical,174940.0,86440.0,0.0,2023,Unknown
budni,1217.7,11423.37,3725.62,7697.75,3804.96,2584.19,safe,107511.0,29897.0,29876.0,2023,Unknown
vijayraghavgarh,1171.4,6043.49,6043.49,0.0,3665.88,3665.88,safe,75100.0,74300.0,0.0,2023,Unknown
dhar,902.3,10840.42,10840.42,0.0,15497.32,15497.32,over_exploited,60200.0,60200.0,0.0,2023,Madhya Pradesh
palera,1070.3,7579.31,6653.25,926.06,5579.18,5431.35,semi_critical,74822.0,69154.0,2468.0,2023,Unknown
lalbarra,1471.6,7029.08,4961.59,2067.49,2022.59,1377.77,safe,71592.0,49374.0,20858.0,2023,Unknown
khirkiya,1374.5,7019.59,7019.59,0.0,4568.8,4568.8,safe,124000.0,79440.0,0.0,2023,Unknown
jhiranya,950.3,9453.9,7627.12,1826.78,4510.7,4262.36,safe,118900.0,61027.0,5442.0,2023,Unknown
udaipura,1237.6,12653.27,12653.27,0.0,6961.29,6961.29,safe,81700.0,64200.0,0.0,2023,Rajasthan
manasa,850.2,12710.03,12092.11,617.92,9868.01,9499.08,semi_critical,149600.0,108464.0,6836.0,2023,Unknown
bina,1197.6,12674.0,12579.04,94.96,7838.68,7799.59,safe,82600.0,81690.0,410.0,2023,Unknown
kurai,1323.6,14937.49,14937.49,0.0,3515.14,3515.14,safe,178300.0,166970.0,0.0,2023,Unknown
malhargarh,880.9,11161.0,8753.16,2407.84,8987.89,8130.98,semi_critical,80631.0,67284.0,12931.0,2023,Unknown
jaisinagar,1197.6,10205.42,9806.81,398.61,6479.17,6401.95,safe,91300.0,74213.0,2277.0,2023,Unknown
ambah,753.0,8015.26,0.0,8015.26,4742.45,,safe,51100.0,0.0,51100.0,2023,Unknown
bhander,963.8,16105.78,4546.59,11559.19,3633.17,1695.97,safe,65600.0,23248.0,41252.0,2023,Unknown
bajang,1376.7,2928.69,2928.69,0.0,372.46,372.46,safe,54500.0,43600.0,0.0,2023,Unknown
ater,951.0,13099.42,8531.86,4567.56,5046.02,4476.53,safe,61200.0,45126.0,16074.0,2023,Unknown
mawai,1445.1,9001.78,9001.78,0.0,1256.65,1256.65,safe,146300.0,117040.0,0.0,2023,Unknown
burhanpur,883.8,18805.4,17160.58,1644.82,13348.09,13068.8,semi_critical,178600.0,111134.0,5866.0,2023,Madhya Pradesh
seoni malwa,1437.7,45345.33,17794.09,27551.24,4596.13,3601.9,safe,137500.0,75827.0,58080.0,2023,Madhya Pradesh
barghat,1323.6,6795.21,5748.34,1046.87,3747.1,3462.31,safe,72000.0,56885.0,12285.0,2023,Unknown
shajapur,1036.1,13460.0,13460.0,0.0,10236.69,10236.69,semi_critical,91786.0,88307.0,0.0,2023,Madhya Pradesh
harrai,1221.6,8482.39,8482.39,0.0,3340.56,3340.56,safe,210700.0,127238.0,0.0,2023,Unknown
bhagwanpura,950.3,7897.7,5532.49,2365.21,3205.86,3000.71,safe,131800.0,44481.0,7917.0,2023,Unknown
ashta,1217.7,14856.94,13564.73,1292.21,12765.64,12336.58,critical,144257.0,110484.0,7707.0,2023,Unknown
pushparajgarh,1423.6,8595.65,8595.65,0.0,866.08,866.08,safe,176400.0,120500.0,0.0,2023,Madhya Pradesh
khairlanji,1471.6,4279.72,2900.28,1379.44,2279.8,2011.64,safe,48788.0,31730.0,13658.0,2023,Unknown
kesala,1437.7,19274.19,10143.95,9130.24,4247.08,4101.15,safe,88300.0,64685.0,16570.0,2023,Unknown
nalkheda,1036.1,10427.51,10427.51,0.0,12170.17,12170.17,over_exploited,60732.0,56217.0,0.0,2023,Unknown
samnapur,1376.7,3747.06,3747.06,0.0,597.52,597.52,safe,65400.0,52320.0,0.0,2023,Unknown
khaniyadhana,994.9,8088.73,6186.57,1902.16,6040.97,5373.42,semi_critical,129200.0,102594.0,20650.0,2023,Unknown
mauganj,1143.1,3919.36,3919.36,0.0,2798.56,2798.56,semi_critical,52730.0,44730.0,0.0,2023,Unknown
biaora,999.6,18176.64,18176.64,0.0,15219.96,15219.96,semi_critical,114800.0,114800.0,0.0,2023,Unknown
sawer,941.4,12481.23,12481.23,0.0,13994.4,13994.4,over_exploited,76900.0,76025.0,0.0,2023,Unknown
majhgawan,1075.5,14576.25,14576.25,0.0,4985.15,4985.15,safe,164882.0,139912.0,0.0,2023,Unknown
saikheda,1243.1,13425.0,13425.0,0.0,8822.14,8822.14,safe,61000.0,61000.0,0.0,2023,Unknown
rehli,1197.6,7193.41,6939.06,254.35,3951.13,3885.4,safe,112500.0,99843.0,2137.0,2023,Unknown
seondha,963.8,23166.82,10065.29,13101.53,8504.07,5027.87,safe,92600.0,44692.0,47908.0,2023,Unknown
babai,1437.7,34220.3,13.44,34206.86,3081.91,,safe,89200.0,0.0,89200.0,2023,Unknown
ranapur,849.1,2293.86,2293.86,0.0,1099.92,1099.92,safe,40400.0,38400.0,0.0,2023,Unknown
niwali,742.5,3921.17,3821.41,99.76,2502.94,2467.64,safe,59610.0,35091.0,470.0,2023,Unknown
kirnapur,1471.6,7340.97,7340.97,0.0,1963.82,1963.82,safe,81040.0,76240.0,0.0,2023,Unknown
bargi,1227.3,5163.73,3425.03,1738.7,3056.03,2689.79,safe,72794.0,27350.0,13640.0,2023,Unknown
sardarpur,902.3,19555.69,14355.0,5200.69,8325.32,7656.0,safe,128000.0,110270.0,17730.0,2023,Unknown
nasrullaganj,1217.7,14029.97,8151.02,5878.95,6022.51,5065.8,safe,136522.0,53833.0,35009.0,2023,Unknown
punasa,950.3,58826.43,2861.74,55964.69,5186.25,2821.3,safe,94500.0,24080.0,66420.0,2023,Unknown
pohari,994.9,15911.72,15314.21,597.51,6959.21,6871.11,safe,157300.0,149119.0,2399.0,2023,Unknown
baldi,950.3,6666.07,6666.07,0.0,3653.17,3653.17,safe,111700.0,54524.0,0.0,2023,Unknown
kotma,1423.6,4614.64,4614.64,0.0,3651.23,3651.23,semi_critical,40000.0,34000.0,0.0,2023,Unknown
unchehara,1075.5,9166.52,7724.04,1442.48,4726.75,4626.83,safe,89691.0,74257.0,1666.0,2023,Unknown
jabalpur urban,1227.3,3528.51,3528.51,0.0,2925.32,2925.32,semi_critical,39449.0,36840.0,0.0,2023,Madhya Pradesh
petlawad,849.1,12109.05,7843.53,4265.52,2901.64,2490.31,safe,97700.0,74635.0,17018.0,2023,Unknown
niwari,1070.3,7571.02,5992.43,1578.59,4948.14,4343.57,safe,60600.0,53311.0,5289.0,2023,Unknown
patan,1227.3,15095.76,7453.43,7642.33,6553.93,3843.94,safe,100400.0,70498.0,29902.0,2023,Unknown
narsinghpur,1243.1,23307.73,18763.7,4544.03,16482.65,15913.54,semi_critical,96900.0,65769.0,18631.0,2023,Unknown
dewas,1069.0,16824.6,16824.6,0.0,17535.2,17535.2,over_exploited,100744.0,99961.0,0.0,2023,Madhya Pradesh
pali,1250.6,8081.11,8081.11,0.0,830.28,830.28,safe,91000.0,81300.0,0.0,2023,Rajasthan
badwara,1171.4,9273.39,7737.95,1535.44,4331.3,4080.66,safe,94200.0,83580.0,9278.0,2023,Unknown
alot,953.5,16801.5,16801.5,0.0,18931.72,18931.72,over_exploited,94500.0,94500.0,0.0,2023,Unknown
shahnagar,1182.9,7583.94,6412.58,1171.36,2326.77,2205.25,safe,143999.0,114191.0,8908.0,2023,Unknown
ghoda dongri,1081.3,14482.17,13733.27,748.9,2903.65,2773.07,safe,130000.0,112440.0,1560.0,2023,Unknown
bijawar,1095.1,13538.12,13393.61,144.51,9122.95,9062.49,semi_critical,159043.0,140839.0,1004.0,2023,Madhya Pradesh
mahidpur,912.5,17430.88,17430.88,0.0,13668.49,13668.49,semi_critical,113453.0,113453.0,0.0,2023,Unknown
kasrawad,950.3,19153.77,7459.85,11693.92,5943.19,4862.63,safe,101200.0,56843.0,44357.0,2023,Unknown
manpur,1250.6,18975.41,18975.41,0.0,3292.96,3292.96,safe,189900.0,184600.0,0.0,2023,Unknown
badi,1237.6,25744.16,7872.82,17871.34,3759.39,2160.74,safe,141900.0,83200.0,58600.0,2023,Unknown
shohagpur,1437.7,12098.88,5048.2,7050.68,4697.45,4044.62,safe,111300.0,28017.0,15373.0,2023,Unknown
sendhwa,742.5,9700.74,7668.07,2032.67,4670.05,4387.09,safe,122530.0,69472.0,9275.0,2023,Unknown
chichli,1243.1,20329.7,20329.7,0.0,11521.58,11521.58,safe,96000.0,85600.0,0.0,2023,Unknown
nainpur,1445.1,6521.91,3766.95,2754.96,1438.48,1159.92,safe,79800.0,45715.0,18135.0,2023,Unknown
kailaras,753.0,8258.63,2734.52,5524.11,3322.45,1801.62,safe,52294.0,23150.0,29144.0,2023,Unknown
