place,rainfall,groundwater_refilled_total,groundwater_refilled_nonirrigated,groundwater_refilled_irrigated,groundwater_used_total,groundwater_used_nonirrigated,groundwater_status,land_total,land_nonirrigated,land_irrigated,year
umarpada,2311.36,13731.62,0.0,13731.62,1542.37,1431.27574394464,safe,41449.4381745,0.0,41107.4381745,2024
prantij,821.94,8408.8,0.0,8408.8,9590.24,1431.27574394464,over_exploited,40809.4951141,0.0,40809.4951141,2024
vagra,856.27,16938.78,0.0,8531.17,242.88,1431.27574394464,safe,115335.6533111,0.0,53841.3434551841,2024
kankrej,513.0,14424.9,0.0,8310.86,15926.7,1431.27574394464,over_exploited,85109.2448056,0.0,57705.7567567629,2024
tarapur,723.18,21911.41,0.0,18064.59,1003.25,1431.27574394464,safe,33079.9757715,0.0,10927.5960774205,2024
bhiloda,929.0,23745.61,0.0,23745.61,9492.05,1431.27574394464,safe,63916.1386801,0.0,57541.1386801,2024
deodar,717.45,11503.44,0.0,5323.55,11008.47,1431.27574394464,over_exploited,51086.3077623,0.0,25543.4592527129,2024
bhavnagar,834.09,21039.72,0.0,11036.77,4301.34,1431.27574394464,safe,152655.9960478,0.0,76327.9980239,2024
gondal,925.91,38129.44,0.0,38129.44,18943.5,1431.27574394464,safe,120761.2164043,0.0,120761.2164043,2024
vapi,2445.73,5176.85,0.0,5176.85,1732.38,1431.27574394464,safe,14703.3400233,0.0,14703.3400233,2024
khergam,2092.91,3537.75,0.0,3537.75,1755.43,1431.27574394464,safe,12261.039877,0.0,12261.039877,2024
kunkavav vadia,809.55,20893.84,0.0,20893.84,10382.24,1431.27574394464,safe,55375.9572528,0.0,55375.9572528,2024
singvad,730.0,6039.52,0.0,6039.52,1274.36,1431.27574394464,safe,61932.2986093,0.0,61932.2986093,2024
vyara,1686.0,12997.65,0.0,12997.65,5505.94,1431.27574394464,safe,44599.579898,0.0,44292.579898,2024
sayla,548.0,10232.86,0.0,9921.22,7706.6,1431.27574394464,safe,92527.1394581,0.0,71713.4754397262,2024
zalod,699.0,6010.04,0.0,6010.04,2815.74,1431.27574394464,safe,59752.1563243,0.0,59665.1563243,2024
santrampur,773.87,6018.8,0.0,6018.8,2830.79,1431.27574394464,safe,56154.1942748,0.0,53227.1942748,2024
mahudha,925.82,7835.12,0.0,7835.12,2036.73,1431.27574394464,safe,25325.3788367,0.0,25325.3788367,2024
jamjodhpur,885.64,20060.31,0.0,20060.31,10901.62,1431.27574394464,safe,111271.2102662,0.0,111271.2102662,2024
dahod,806.0,3097.07,0.0,3097.07,1718.08,1431.27574394464,safe,25321.1017224,0.0,25321.1017224,2024
mandal,522.0,26526.34,0.0,2091.3,5317.39,1431.27574394464,safe,48693.4287606,0.0,11198.7127452377,2024
dhari,624.0,28163.38,0.0,28163.38,11008.17,1431.27574394464,safe,104422.79755,0.0,104422.79755,2024
jamkandorna,847.45,14798.23,0.0,14798.23,9566.65,1431.27574394464,safe,57244.2354819,0.0,57244.2354819,2024
bodeli,1228.0,12429.81,0.0,12429.81,2955.13,1431.27574394464,safe,55993.5728611,0.0,54658.5728611,2024
vadali,880.0,6981.86,0.0,6981.86,5943.05,1431.27574394464,critical,33317.3723738,0.0,33317.3723738,2024
talala,1276.45,10638.91,0.0,10638.91,6286.06,1431.27574394464,safe,49250.5292103,0.0,49250.5292103,2024
sojitra,771.73,13926.48,0.0,13574.42,2029.59,1431.27574394464,safe,14911.8005482,0.0,12607.755557246,2024
jodiya,829.55,12062.95,0.0,6718.15,6438.71,1431.27574394464,safe,96273.3795194,0.0,38619.3657080816,2024
umreth,661.0,12220.43,0.0,12220.43,3847.08,1431.27574394464,safe,23763.1523432,0.0,23763.1523432,2024
anklesvar,1004.27,11407.26,0.0,8596.36,3008.48,1431.27574394464,safe,44062.2727664,0.0,29599.0014714573,2024
lakhani,603.0,8032.97,0.0,8030.97,13984.74,1431.27574394464,over_exploited,56887.3979674,0.0,56887.3979674,2024
keshod,1061.45,15243.64,0.0,15243.64,9888.97,1431.27574394464,safe,57174.8836181,0.0,57174.8836181,2024
junagadh city & juna,1209.73,15485.09,0.0,15485.09,9366.74,1431.27574394464,safe,67903.9501739,0.0,59761.9501739,2024
mansa,796.0,12084.59,0.0,12084.59,9718.29,1431.27574394464,semi_critical,38173.1562456,0.0,38173.1562456,2024
dhoraji,890.91,12065.11,0.0,12065.11,9851.05,1431.27574394464,semi_critical,49201.2115296,0.0,49201.2115296,2024
nadiad,993.18,16995.17,0.0,16995.17,5261.03,1431.27574394464,safe,33093.7704928,0.0,33093.7704928,2024
virpur,679.94,3478.8,0.0,3478.8,2336.51,1431.27574394464,semi_critical,26186.7376431,0.0,26186.7376431,2024
detroj-rampura,596.0,155840.14,0.0,602.95,3238.16,1431.27574394464,safe,32758.8456954,0.0,3111.24078727693,2024
vav,520.0,16095.24,0.0,0.0,4281.16,1431.27574394464,salinity,113053.9265085,0.0,0.0,2024
mehmedabad,856.91,10702.85,0.0,9120.78,7460.27,1431.27574394464,semi_critical,40027.4662118,0.0,32035.582062476,2024
kalol,867.45,19294.39,0.0,17513.13,6963.86,1431.27574394464,safe,47785.3864347,0.0,47785.3864347,2024
karjan,1041.0,18465.53,0.0,18465.53,11010.44,1431.27574394464,safe,59127.5230393,0.0,59127.5230393,2024
becharaji,695.0,170902.82,0.0,3040.12,6069.68,1431.27574394464,safe,41342.5554992,0.0,8939.14269734204,2024
