place,rainfall,groundwater_refilled_total,groundwater_refilled_nonirrigated,groundwater_refilled_irrigated,groundwater_used_total,groundwater_used_nonirrigated,groundwater_status,land_total,land_nonirrigated,land_irrigated,year
akuluto,2080.4,593.68,593.68,0.0,7.78,7.78,safe,26974.0,2703.28,0.0,2024
pungro,1074.1,137.12,137.12,0.0,0.4,0.4,safe,56500.0,1371.78,0.0,2024
kubulong,2080.4,491.94,491.94,0.0,0.09,0.09,safe,12773.0,4346.94,0.0,2024
longkhim,2079.5,76.61,76.61,0.0,4.08,4.08,safe,14989.0,613.67,0.0,2024
tening,1394.2,1063.5,1063.5,0.0,22.29,22.29,safe,52166.0,15398.61,0.0,2024
noklak,2079.5,324.52,324.52,0.0,7.71,7.71,safe,57107.0,2036.64,0.0,2024
wozhuru ralan,2166.76,1178.09,1178.09,0.0,29.88,29.88,safe,27268.0,10045.94,0.0,2024
tizit,1469.1,774.11,774.11,0.0,47.42,47.42,safe,23861.0,10367.56,0.0,2024
peren,1394.2,952.21,952.21,0.0,15.03,15.03,safe,47063.0,14102.3,0.0,2024
longleng,1879.5,919.94,919.94,0.0,4.51,4.51,safe,34503.56,7344.54,0.0,2024
zunheboto,2080.4,239.2,239.2,0.0,21.06,21.06,safe,9662.0,616.09,0.0,2024
tokiye,2080.4,252.89,252.89,0.0,9.47,9.47,safe,14966.0,905.94,0.0,2024
simiti,1074.1,344.36,344.36,0.0,2.96,2.96,safe,31080.0,1160.81,0.0,2024
chukitong,2166.76,683.81,683.81,0.0,3.87,3.87,safe,14534.0,4922.78,0.0,2024
phek,1295.1,162.49,162.49,0.0,5.37,5.37,safe,40088.02,1076.97,0.0,2024
mon,1469.1,771.54,771.54,0.0,29.71,29.71,safe,25278.0,10324.52,0.0,2024
ongpangkong south,2080.4,899.44,899.44,0.0,16.88,16.88,safe,22954.0,7946.47,0.0,2024
meluri,1295.1,417.8,417.8,0.0,14.21,14.21,safe,97649.74,5285.34,0.0,2024
sangsangnyu,2079.5,290.34,290.34,0.0,9.74,9.74,safe,35307.0,1483.26,0.0,2024
sekruzu,1295.1,191.13,191.13,0.0,4.55,4.55,safe,18197.28,2006.28,0.0,2024
kohima,1779.3,495.12,495.12,0.0,127.29,127.29,safe,25655.0,3706.42,0.0,2024
tobu,1469.1,379.33,379.33,0.0,4.82,4.82,safe,31288.0,4699.61,0.0,2024
satakha,2080.4,365.74,365.74,0.0,9.56,9.56,safe,38774.0,2093.25,0.0,2024
changtongya,2080.4,1545.46,1545.46,0.0,19.99,19.99,safe,42289.0,14301.82,0.0,2024
chessore,2079.5,130.28,130.28,0.0,7.82,7.82,safe,22679.0,955.34,0.0,2024
wokha,2166.76,1170.26,1170.26,0.0,54.54,54.54,safe,26904.0,10647.08,0.0,2024
noksen,2079.5,152.86,152.86,0.0,5.6,5.6,safe,28340.0,1238.06,0.0,2024
tamlu,1879.5,624.27,624.27,0.0,2.05,2.05,safe,21696.44,5545.08,0.0,2024
medziphema,1744.96,11247.35,11247.35,0.0,889.74,889.74,safe,55165.0,37180.03,0.0,2024
jakhama,1779.3,553.42,553.42,0.0,12.15,12.15,safe,24600.0,4492.73,0.0,2024
jalukie,1394.2,2487.83,2487.83,0.0,134.05,134.05,safe,65871.0,34337.53,0.0,2024
chen,1469.1,912.08,912.08,0.0,26.18,26.18,safe,37708.0,12467.75,0.0,2024
pomching,1469.1,643.87,643.87,0.0,28.32,28.32,safe,26015.0,9683.27,0.0,2024
suruhoto,2080.4,182.14,182.14,0.0,5.77,5.77,safe,12024.0,765.26,0.0,2024
mangkolemba,2080.4,1744.22,1744.22,0.0,29.08,29.08,safe,44812.0,15099.67,0.0,2024
bhandari,2166.76,2559.36,2559.36,0.0,30.09,30.09,safe,49715.0,22870.1,0.0,2024
thonoknyu,2079.5,230.42,230.42,0.0,4.01,4.01,safe,53298.0,2003.14,0.0,2024
pfutsero,1295.1,296.35,296.35,0.0,9.64,9.64,safe,30044.41,1889.11,0.0,2024
ongpangkong north,2080.4,862.2,862.2,0.0,14.46,14.46,safe,24572.0,8336.23,0.0,2024
chare,2079.5,93.12,93.12,0.0,1.41,1.41,safe,8271.0,511.04,0.0,2024
kuhoboto,1744.96,1849.02,1849.02,0.0,153.15,153.15,safe,6976.0,4004.75,0.0,2024
sanis,2166.76,2042.31,2042.31,0.0,59.77,59.77,safe,44379.0,18434.72,0.0,2024
longchem,2080.4,701.55,701.55,0.0,14.91,14.91,safe,14100.0,5011.83,0.0,2024
kiphire,1074.1,98.69,98.69,0.0,5.8,5.8,safe,25420.0,1043.61,0.0,2024
dhansiripar,1744.96,6837.81,6837.81,0.0,234.85,234.85,safe,21215.0,16602.22,0.0,2024
niuland,1744.96,2801.29,2801.29,0.0,131.57,131.57,safe,9344.0,5258.67,0.0,2024
wakching,1469.1,949.46,949.46,0.0,10.19,10.19,safe,34450.0,13969.73,0.0,2024
tseminyu,1779.3,839.72,839.72,0.0,40.14,40.14,safe,36389.0,7483.42,0.0,2024
chiephobozou,1779.3,1193.18,1193.18,0.0,36.58,36.58,safe,59656.0,12581.0,0.0,2024
kikruma,1295.1,113.65,113.65,0.0,3.91,3.91,safe,16620.55,1051.3,0.0,2024
shamator,2079.5,155.46,155.46,0.0,6.37,6.37,safe,33609.0,1282.28,0.0,2024
ghathashi,2080.4,262.42,262.42,0.0,5.32,5.32,safe,23100.0,1901.65,0.0,2024
thingsulthliah,2204.0,291.54,291.54,0.0,16.97,16.97,safe,73100.0,4161.0,0.0,2024
bilkhawthlir,2205.0,1333.47,1333.47,0.0,22.4,22.4,safe,51106.0,18978.0,0.0,2024
chawngte,2022.0,1591.7,1591.7,0.0,30.9,30.9,safe,69948.0,24542.0,0.0,2024
khawzawl,1728.0,523.32,523.32,0.0,7.09,7.09,safe,113287.0,9486.0,0.0,2024
darlawn,2204.0,534.09,534.09,0.0,19.58,19.58,safe,105043.0,7623.0,0.0,2024
sangau,2022.0,115.51,115.51,0.0,7.94,7.94,safe,47258.0,1781.0,0.0,2024
lunglei,2092.0,653.41,653.41,0.0,60.16,60.16,safe,108893.0,9850.0,0.0,2024
reiek,2242.0,841.88,841.88,0.0,29.29,29.29,safe,83627.0,11650.0,0.0,2024
serchhip,1747.0,694.75,694.75,0.0,20.71,20.71,safe,97659.0,12320.0,0.0,2024
e lungdar,1747.0,216.89,216.89,0.0,27.53,27.53,safe,44441.0,3846.0,0.0,2024
tuipang,2262.0,608.47,608.47,0.0,11.31,11.31,safe,96752.0,8394.0,0.0,2024
phullen,2204.0,234.22,234.22,0.0,13.21,13.21,safe,55890.0,3343.0,0.0,2024
lawngtlai,2022.0,719.45,719.45,0.0,60.86,60.86,safe,88293.0,11093.0,0.0,2024
aibawk,2280.0,9.57,9.57,0.0,5.98,5.98,safe,55064.0,131.0,0.0,2024
champhai,1728.0,446.64,446.64,0.0,28.65,28.65,safe,59080.0,8096.0,0.0,2024
khawbung,1728.0,303.15,303.15,0.0,1.45,1.45,safe,66535.0,5495.0,0.0,2024
tlangnuam,2204.0,453.73,453.73,0.0,144.81,144.81,safe,68503.0,6476.0,0.0,2024
north thingdawl,2205.0,1443.01,1443.01,0.0,9.23,9.23,safe,87094.0,20537.0,0.0,2024
saiha,2262.0,164.26,164.26,0.0,29.13,29.13,safe,43148.0,2266.0,0.0,2024
west bunghmun,2092.0,1639.62,1639.62,0.0,26.12,26.12,safe,114970.0,24717.0,0.0,2024
west phaileng,2242.0,1478.45,1478.45,0.0,36.23,36.23,safe,99578.0,20459.0,0.0,2024
bungtlang south,2022.0,950.72,950.72,0.0,4.57,4.57,safe,50201.0,14659.0,0.0,2024
hnahthial,2092.0,349.92,349.92,0.0,58.37,58.37,safe,94597.0,5275.0,0.0,2024
lungsen,2092.0,2298.21,2298.21,0.0,46.83,46.83,safe,137240.0,34645.0,0.0,2024
zawlnuam,2242.0,2856.02,2856.02,0.0,37.24,37.24,safe,117195.0,39522.0,0.0,2024
ngopa,1728.0,308.72,308.72,0.0,7.39,7.39,safe,79598.0,5596.0,0.0,2024
bana,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,14780.4893742228,0.0,0.0,2024
singa-gelling,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,135701.847923809,0.0,0.0,2024
aalo east,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,35944.5141264664,0.0,0.0,2024
diyun,2222.9,4589.57,4589.57,0.0,58.48,58.48,safe,14899.2298562832,7622.61155429201,0.0,2024
tawang,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,26605.2220228047,0.0,0.0,2024
yachuli,1444.4,2051.65,2051.65,0.0,6.06,6.06,safe,93518.7714739042,4094.29110938806,0.0,2024
walong,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,357087.296078798,0.0,0.0,2024
gensi,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,47133.7372183564,0.0,0.0,2024
bordumsa,2222.9,5274.78,5274.78,0.0,77.4,77.4,safe,8692.01076251575,8549.66703896904,0.0,2024
koloriang,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,41350.769167968,0.0,0.0,2024
tirbin,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,15864.8667202884,0.0,0.0,2024
sagalee,3199.6,4013.2,4013.2,0.0,7.7,7.7,safe,116788.891879249,3790.24291321849,0.0,2024
damin,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,126914.084327008,0.0,0.0,2024
khimiyong,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,18813.1865206687,0.0,0.0,2024
wakka,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,30494.9418723711,0.0,0.0,2024
seppa,2026.3,3732.3,3732.3,0.0,81.07,81.07,safe,51358.7011460388,3999.3340890631102,0.0,2024
puchi geko,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,28123.8195623969,0.0,0.0,2024
geku,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,51529.6520762278,0.0,0.0,2024
kimin,3199.6,1736.36,1736.36,0.0,11.43,11.43,safe,52633.590096325,2814.1426733895,0.0,2024
changlang,2222.9,1869.17,1869.17,0.0,1.03,1.03,safe,56798.7519410552,3136.68619576616,0.0,2024
roing-koronu,3996.1,53935.06,53935.06,0.0,232.88,232.88,safe,122994.660502942,74710.1064553007,0.0,2024
tezu,2998.2,34887.99,34887.99,0.0,25.42,25.42,safe,174097.333607291,58688.0095363559,0.0,2024
chambang,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,37384.6191914039,0.0,0.0,2024
zemithang-dudunghar,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,53248.4774952569,0.0,0.0,2024
nampong,2222.9,5263.39,5263.39,0.0,6.54,6.54,safe,81057.3299555587,7835.84055199107,0.0,2024
tame raga,1444.4,1387.68,1387.68,0.0,11.3,11.3,safe,195220.790646107,2267.6099535529,0.0,2024
mariang,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,73229.4565048256,0.0,0.0,2024
namsai,2998.2,23066.41,23066.41,0.0,114.18,114.18,safe,41618.2052779123,35190.6897346854,0.0,2024
lumla,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,8413.68075541618,0.0,0.0,2024
daporijo,1735.4,958.71,958.71,0.0,13.7,13.7,safe,25680.6803977706,320.33,0.0,2024
giba,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,66821.9966490354,0.0,0.0,2024
jang-thingbu,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,108086.29864694,0.0,0.0,2024
thrizino,2388.7,690.3,690.3,0.0,1.55,1.55,safe,111234.486151448,1414.52443185677,0.0,2024
kaying-payum,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,144767.055829799,0.0,0.0,2024
pangin,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,138979.059176615,0.0,0.0,2024
kanubari,2907.3,2222.6,2222.6,0.0,12.96,12.96,safe,23376.1426204043,2410.76807752977,0.0,2024
laju,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,26139.5226270725,0.0,0.0,2024
nyapin,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,57793.1850702681,0.0,0.0,2024
kalaktang,2388.7,797.33,797.33,0.0,1.78,1.78,safe,175068.905920993,1648.48540630081,0.0,2024
palin,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,26630.3284593444,0.0,0.0,2024
tali,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,40160.7878978786,0.0,0.0,2024
seijosa,2026.3,5716.75,5716.75,0.0,15.25,15.25,safe,69182.7949794759,14737.3382564676,0.0,2024
yingkong,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,57112.9931849006,0.0,0.0,2024
khonsa,2907.3,2134.79,2134.79,0.0,5.86,5.86,safe,61554.7023804939,3498.86872162099,0.0,2024
sarli,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,113587.937436071,0.0,0.0,2024
ziro i,1444.4,1702.99,1702.99,0.0,22.43,22.43,safe,62060.4378799892,3773.09893705904,0.0,2024
bameng,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,21810.2000102148,0.0,0.0,2024
namsang,2907.3,2482.45,2482.45,0.0,16.16,16.16,safe,33618.9230188924,4658.75474607966,0.0,2024
sangram,0.0,7432.71143085545,3096.13627811499,4280.6680785216,4404.62606885064,1431.27574394464,Hilly Area,38112.6630311025,0.0,0.0,2024
khenewa,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,53012.0177447914,0.0,0.0,2024
anini-mipi,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,396482.950144512,0.0,0.0,2024
limeking,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,157932.779385787,0.0,0.0,2024
nacho,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,149303.959490002,0.0,0.0,2024
aalo west,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,17425.1806903267,0.0,0.0,2024
hunli-desali,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,149043.793160814,0.0,0.0,2024
dambuk,3996.1,32772.44,32772.44,0.0,15.25,15.25,safe,117961.546336244,45289.8935446993,0.0,2024
pangchao,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,27767.0275437779,0.0,0.0,2024
tuting,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,293523.107929513,0.0,0.0,2024
taliha,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,94049.7564937002,0.0,0.0,2024
dumporijo,1735.4,1791.47,1791.47,0.0,7.58,7.58,safe,53039.1705419096,379.67,0.0,2024
parsi parlo,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,34718.0487752051,0.0,0.0,2024
etalin,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,400464.928849731,0.0,0.0,2024
mukto-bongkhar,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,18309.8039165027,0.0,0.0,2024
dirang,2388.7,996.01,996.01,0.0,4.65,4.65,safe,191769.323745858,1367.98299275204,0.0,2024
lekang_mahadevpur,2998.2,8496.23,8496.23,0.0,70.05,70.05,safe,10672.6856173706,10620.0119775471,0.0,2024
mechuka,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,125363.768834987,0.0,0.0,2024
monigong,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,138469.64676371,0.0,0.0,2024
mebo,4398.6,38331.01,38331.01,0.0,48.1,48.1,safe,78432.6611871701,50854.245494085,0.0,2024
jangging,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,47902.9423807248,0.0,0.0,2024
kitypi,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,2536.51716307961,0.0,0.0,2024
riga,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,16379.9561432084,0.0,0.0,2024
balijan,3199.6,3107.13,3107.13,0.0,25.4,25.4,safe,60904.0240697239,3562.66992140391,0.0,2024
rumgong,2891.9,1646.99,1646.99,0.0,0.16,0.16,safe,43265.4719816115,3235.90136231883,0.0,2024
ramle bango,4398.6,7047.6,7047.6,0.0,25.24,25.24,safe,51639.5802540497,9317.14847465361,0.0,2024
hayuliang,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,124496.555955991,0.0,0.0,2024
pipu,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,36721.9496515148,0.0,0.0,2024
wakro,2998.2,17010.99,17010.99,0.0,15.55,15.55,safe,208354.815991285,28580.7920939395,0.0,2024
siyum,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,72386.9765424779,0.0,0.0,2024
doimukh,3199.6,3773.52,3773.52,0.0,104.15,104.15,safe,49495.8080095079,7651.94449198811,0.0,2024
liromoba,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,37764.8299408298,0.0,0.0,2024
likabali,2891.9,1523.25,1523.25,0.0,4.18,4.18,safe,83026.8096881941,2980.45644461353,0.0,2024
basar,2891.9,1688.54,1688.54,0.0,3.17,3.17,safe,68943.1035443793,2676.41624314066,0.0,2024
darak,2891.9,804.44,804.44,0.0,0.5,0.5,safe,74531.0146610514,1566.22594992698,0.0,2024
khagam,2222.9,13110.61,13110.61,0.0,104.17,104.17,safe,244022.180426569,25855.1946589817,0.0,2024
nafra,2388.7,594.02,594.02,0.0,1.62,1.62,safe,165211.401845986,1160.54372613513,0.0,2024
anelih-kronli (arzoo),0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,115952.121005757,0.0,0.0,2024
chongkham,2998.2,39488.54,39488.54,0.0,48.52,48.52,safe,86456.9595061419,66920.4966574722,0.0,2024
pasighat,4398.6,15378.62,15378.62,0.0,50.22,50.22,safe,29279.4801655777,21043.1995174461,0.0,2024
niausa,2907.3,1951.86,1951.86,0.0,20.56,20.56,safe,33248.7399369878,1931.60845476958,0.0,2024
manchal,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,36424.8128746608,0.0,0.0,2024
pakke-kessang,2026.3,2835.87,2835.87,0.0,7.35,7.35,safe,55529.0064377708,6151.32772276717,0.0,2024
chayangtajo,2026.3,5281.03,5281.03,0.0,5.15,5.15,safe,111004.840655971,6361.99993170211,0.0,2024
chaglagam,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,100991.335090551,0.0,0.0,2024
mengio,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,66377.685945194,0.0,0.0,2024
baririjo,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,55860.8609369205,0.0,0.0,2024
pipsorang,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,87347.5766437497,0.0,0.0,2024
manmao,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,41917.3105373498,0.0,0.0,2024
singchung,2388.7,274.6,274.6,0.0,3.55,3.55,safe,98915.8823357144,583.463442955259,0.0,2024
ruksin,4398.6,24094.55,24094.55,0.0,55.46,55.46,safe,45589.2630733788,28885.4065138153,0.0,2024
daman,2194.78138222849,2296.29,0.0,2296.29,722.1,1431.27574394464,safe,7200.0,0.0,6840.0,2024
diu,848.237,214.72,0.0,214.72,64.9,1431.27574394464,safe,4000.0,0.0,3676.0,2024
arniwala sheikh subanpur,374.0,12864.44,0.0,9035.11,6283.49,1431.27574394464,semi_critical,32837.0,0.0,28296.58,2024
kahnuwan,905.0,17350.75,0.0,17350.75,14346.96,1431.27574394464,critical,33691.0,0.0,33691.0,2024
malerkotla-2,581.0,9626.01,0.0,9626.01,26256.74,1431.27574394464,over_exploited,32242.0,0.0,32242.0,2024
verka,670.0,8041.3,0.0,8041.3,15381.17,1431.27574394464,over_exploited,17566.0,0.0,17566.0,2024
moga-2,447.0,7960.09,0.0,7960.09,25002.72,1431.27574394464,over_exploited,30930.0,0.0,30930.0,2024
mahilpur,698.0,6161.18,106.56,6054.62,6030.57,1431.27574394464,over_exploited,40804.0,0.0,40804.0,2024
jalandhar west,697.0,9414.46,0.0,9414.46,20909.86,1431.27574394464,over_exploited,30329.0,0.0,30329.0,2024
sujanpur,1245.0,17513.49,25.2,17488.29,4667.69,1431.27574394464,safe,15720.0,0.0,15720.0,2024
lehra gaga,477.0,8714.22,0.0,8714.22,22384.78,1431.27574394464,over_exploited,40808.0,0.0,40808.0,2024
rurka kalan,551.0,11254.06,0.0,11254.06,25772.75,1431.27574394464,over_exploited,19307.0,0.0,19307.0,2024
fatehgarh churian,691.0,14045.32,0.0,14045.32,17529.43,1431.27574394464,over_exploited,23070.0,0.0,23070.0,2024
gurdaspur,852.0,16123.68,0.0,16123.68,15825.46,1431.27574394464,over_exploited,28902.0,0.0,28902.0,2024
abohar,380.0,31453.6,0.0,12999.64,7346.32,1431.27574394464,safe,86719.0,0.0,11151.53,2024
tarn taran,519.0,9470.14,0.0,9470.14,21481.39,1431.27574394464,over_exploited,36094.0,0.0,36094.0,2024
kharar,723.0,8495.65,1.22,8494.43,8138.26,1431.27574394464,over_exploited,42275.0,0.0,42275.0,2024
dhuri,401.0,6676.31,0.0,6676.31,20733.95,1431.27574394464,over_exploited,23337.0,0.0,23337.0,2024
batala,744.0,16295.65,0.0,16295.65,22797.78,1431.27574394464,over_exploited,25611.0,0.0,25611.0,2024
gandiwind tatla,584.0,8832.38,0.0,8832.38,8898.67,1431.27574394464,over_exploited,20990.0,0.0,20990.0,2024
derabassi,775.347105829321,8579.03,0.0,8579.03,12132.64,1431.27574394464,over_exploited,39044.0,0.0,39011.15,2024
bathinda,402.0,28476.63,0.0,17903.14,20839.27,1431.27574394464,semi_critical,44559.0,0.0,33684.51,2024
raikot,571.0,7369.15,0.0,7369.15,17329.22,1431.27574394464,over_exploited,30304.0,0.0,30304.0,2024
maur,395.0,19751.46,0.0,16564.49,30118.34,1431.27574394464,over_exploited,29581.0,0.0,28392.22,2024
ghanaur,690.403655994043,9743.73,0.0,8867.61,10109.84,1431.27574394464,over_exploited,24174.0,0.0,21989.22,2024
rayya,751.0,14953.2,0.0,14953.2,21216.6,1431.27574394464,over_exploited,32251.0,0.0,32251.0,2024
jandiala guru,623.0,8889.48,0.0,8889.48,14120.73,1431.27574394464,over_exploited,23186.0,0.0,23186.0,2024
machhiwara,319.0,9934.12,0.0,9934.12,18372.54,1431.27574394464,over_exploited,33303.0,0.0,33303.0,2024
dina nagar,954.0,9314.18,0.0,9314.18,6314.94,1431.27574394464,semi_critical,19734.0,0.0,19734.0,2024
gharota,1126.0,4383.11,19.44,4363.67,2503.21,1431.27574394464,safe,11638.0,0.0,11638.0,2024
sehna,456.0,17828.95,0.0,17828.95,33131.32,1431.27574394464,over_exploited,42055.0,0.0,42055.0,2024
dhariwal,819.0,14394.05,0.0,14394.05,19618.76,1431.27574394464,over_exploited,23414.0,0.0,23414.0,2024
garh shankar,743.0,12597.34,2502.82,10094.52,19179.72,1431.27574394464,over_exploited,38858.0,0.0,38858.0,2024
patiala,710.0,13778.26,0.0,13778.26,26320.43,1431.27574394464,over_exploited,41740.0,0.0,41740.0,2024
nakodar,595.0,6589.57,0.0,6589.57,18730.59,1431.27574394464,over_exploited,28349.0,0.0,28349.0,2024
dera baba nanak,742.0,13473.08,0.0,13473.08,19838.31,1431.27574394464,over_exploited,28954.0,0.0,28954.0,2024
ludhiana city,641.0,1370.84,0.0,1370.84,6857.68,1431.27574394464,over_exploited,16553.0,0.0,16553.0,2024
hoshiarpur-1,759.0,6900.88,235.6,6665.28,10842.89,1431.27574394464,over_exploited,35411.0,0.0,35411.0,2024
sunam,446.0,10452.33,0.0,10452.33,33310.14,1431.27574394464,over_exploited,48981.0,0.0,48981.0,2024
malout,389.0,26276.03,0.0,17002.81,15858.24,1431.27574394464,safe,56233.0,0.0,51112.29,2024
majri,730.0,4704.11,0.0,4704.11,3560.31,1431.27574394464,semi_critical,28064.0,0.0,28064.0,2024
dasuya,953.0,10790.44,7.34,10783.1,12808.81,1431.27574394464,over_exploited,32398.0,0.0,32398.0,2024
budhlada,411.0,50517.86,0.0,27437.42,44117.54,1431.27574394464,critical,72590.0,0.0,51404.14,2024
kot kapura,397.0,24553.41,0.0,17067.03,26756.13,1431.27574394464,over_exploited,32355.0,0.0,25397.3,2024
shahkot,555.0,4747.63,0.0,4747.63,14085.55,1431.27574394464,over_exploited,22414.0,0.0,22414.0,2024
bhawanigarh,553.0,8385.81,0.0,8385.81,26253.84,1431.27574394464,over_exploited,33158.0,0.0,33158.0,2024
sardulgarh,403.0,13063.81,0.0,9180.17,9968.71,1431.27574394464,semi_critical,35660.0,0.0,35081.64,2024
talwandi sabo,425.0,21237.35,0.0,21237.35,13733.15,1431.27574394464,semi_critical,57373.0,0.0,57373.0,2024
mahal kalan,561.0,16334.71,0.0,16334.71,18254.65,1431.27574394464,over_exploited,30275.0,0.0,30275.0,2024
jhunir,397.0,22272.76,0.0,16051.98,12467.56,1431.27574394464,safe,32601.0,0.0,29746.96,2024
ghall khurd,424.0,50475.81,0.0,33715.03,45617.25,1431.27574394464,over_exploited,51840.0,0.0,48379.56,2024
maloud,586.0,8990.89,0.0,8990.89,12316.12,1431.27574394464,over_exploited,20188.0,0.0,20188.0,2024
nurpur bedi,869.0,7810.34,29.52,7780.82,5533.05,1431.27574394464,safe,33372.0,0.0,33372.0,2024
doraha,637.0,19705.63,0.0,19705.63,26060.39,1431.27574394464,over_exploited,20269.0,0.0,20269.0,2024
bhagta bhai ka,395.0,5059.94,0.0,5059.94,16582.58,1431.27574394464,over_exploited,26696.0,0.0,26696.0,2024
sher pur,645.0,6790.93,0.0,6790.93,19051.34,1431.27574394464,over_exploited,28584.0,0.0,28584.0,2024
khadur sahib,647.0,8932.31,0.0,8932.31,16656.43,1431.27574394464,over_exploited,28654.0,0.0,28654.0,2024
bassi pathanan,706.0,4498.16,0.0,4498.16,9318.34,1431.27574394464,over_exploited,18098.0,0.0,18098.0,2024
hoshiarpur-2,715.0,7237.71,0.0,7237.71,6440.29,1431.27574394464,critical,43591.0,0.0,43591.0,2024
zira,451.0,14336.08,0.0,13546.28,33309.85,1431.27574394464,over_exploited,41204.0,0.0,41167.58,2024
rampura,195.0,18683.81,0.0,18683.81,13956.06,1431.27574394464,semi_critical,33258.0,0.0,33258.0,2024
pakhowal,604.0,4989.75,0.0,4989.75,9239.47,1431.27574394464,over_exploited,24087.0,0.0,24087.0,2024
lohian,545.0,7625.6,0.0,7625.6,19063.61,1431.27574394464,over_exploited,19004.0,0.0,19004.0,2024
saroya,807.0,2834.96,0.0,2834.96,2148.97,1431.27574394464,semi_critical,16802.0,0.0,16802.0,2024
faridkot,401.0,38622.69,0.0,17690.45,34504.52,1431.27574394464,critical,72753.0,0.0,30979.28,2024
nur mahal,601.0,7012.35,0.0,7012.35,12355.72,1431.27574394464,over_exploited,26121.0,0.0,26121.0,2024
