place,rainfall,groundwater_refilled_total,groundwater_refilled_nonirrigated,groundwater_refilled_irrigated,groundwater_used_total,groundwater_used_nonirrigated,groundwater_status,land_irrigated,land_nonirrigated,land_total,year,state
waraseoni,1471.6,4160.27,2507.09,1653.18,1935.31,1364.52,safe,15232,29171,47603,2022,Madhya Pradesh
nalchha,902.3,12474.2,12194.31,279.89,13073.3,13000.08,over_exploited,975,77425,78400,2022,Madhya Pradesh
kolaras,994.9,10895.68,10895.68,0,7261.65,7261.65,semi_critical,0,107491,115200,2022,Madhya Pradesh
raghogarh,1082,18586.77,13989.08,4597.69,10134.04,9704.61,safe,14384,103752,124136,2022,Madhya Pradesh
pansemal,719.2,6739.84,5738.07,1001.77,8460.39,8231.83,over_exploited,4489,24691,59040,2022,Madhya Pradesh
tonkkhurd,1069,11574.55,11574.55,0,6048.05,6048.05,safe,0,62430,67900,2022,Madhya Pradesh
gohad,951,21989.45,12993.86,8995.59,6950.98,5906.95,safe,42770,60030,102800,2022,Madhya Pradesh
aron,1082,11761.58,11761.58,0,7602.64,7602.64,safe,0,78883,78883,2022,Madhya Pradesh
jirapur,972,12873.71,12873.71,0,9616.96,9616.96,semi_critical,0,84498,84498,2022,Madhya Pradesh
parasia,1139.25,8593.08,8593.08,0,5065.41,5065.41,safe,0,69020,78700,2022,Madhya Pradesh
dhanora,1323.6,4780.77,3788.76,992.01,1306.57,1275.63,safe,11951,48949,66700,2022,Madhya Pradesh
amla,1081.3,14909.7,13345.47,1564.23,7428.62,6859.58,safe,6438,101862,112000,2022,Madhya Pradesh
betul,1081.3,14177.6,13156.76,1020.84,10972.94,10495.59,semi_critical,3840,99160,115000,2022,Madhya Pradesh
ratlam,992.85,26355.48,26355.48,0,31151.06,31151.06,over_exploited,0,133100,133100,2022,Madhya Pradesh
bichhiya,1427.7,8222.16,6885.75,1336.41,1534.45,1359.03,safe,5038,82882,109900,2022,Madhya Pradesh
maheshwar,782.9,12252.04,6792.1,5459.94,5179.21,4532.62,safe,24134,58486,82620,2022,Madhya Pradesh
narayanganj,1427.7,3027.97,3027.97,0,949.23,949.23,safe,0,35200,44000,2022,Madhya Pradesh
alirajpur,836.2,5128.23,5128.23,0,1845.1,1845.1,safe,0,63900,66400,2022,Madhya Pradesh
dhimar kheda,1171.4,5394.98,5394.98,0,1674.32,1674.32,safe,0,84120,92500,2022,Madhya Pradesh
udaigarh,836.2,2504.7,2504.7,0,1020.37,1020.37,safe,0,34300,37000,2022,Madhya Pradesh
ujjain,861.5,14305.66,14305.66,0,19479.45,19479.45,over_exploited,0,75964,75964,2022,Madhya Pradesh
sheopur,799.2,32249.75,8999.39,23250.36,6282.19,4902.66,safe,60150,82450,142600,2022,Madhya Pradesh
bhopal urban,1127.06,5266.35,5266.35,0,3759.27,3759.27,semi_critical,0,38293,42500,2022,Madhya Pradesh
pawai,1182.9,10374.62,9329.32,1045.3,3683.72,3546.78,safe,4738,132338,157576,2022,Madhya Pradesh
tamia,1139.25,5146.69,5146.69,0,1053.06,1053.06,safe,0,51702,153800,2022,Madhya Pradesh
jawa,1141.45,8619.37,8619.37,0,3018.36,3018.36,safe,0,73400,81400,2022,Madhya Pradesh
hatta,1176,3187.11,2415.56,771.55,1851.46,1790.78,safe,3998,45102,86500,2022,Madhya Pradesh
bamori,1082,16795.09,12991.78,3803.31,10035.47,9630.49,safe,12640,145508,158848,2022,Madhya Pradesh
khargone,782.9,5961.8,4779.19,1182.61,4404.52,4066.48,semi_critical,8510,40930,49440,2022,Madhya Pradesh
kurwai,1071.4,11730.15,11730.15,0,8446.49,8446.49,semi_critical,0,81000,83100,2022,Madhya Pradesh
sondwa,836.2,6654.52,6654.52,0,1893.23,1893.23,safe,0,87400,92200,2022,Madhya Pradesh
bhabra,836.2,1970.54,1970.54,0,1223.85,1223.85,safe,0,31300,34000,2022,Madhya Pradesh
narwar,994.9,9399.04,7406.39,1992.65,6363.94,5833.74,semi_critical,12617,80183,98400,2022,Madhya Pradesh
jaora,753,10770.77,3671.94,7098.83,3343.43,1704.45,safe,29553,27742,68595,2022,Madhya Pradesh
dabra,870,22052.1,6007.61,16044.49,4269.21,2338.85,safe,60100,31200,97400,2022,Madhya Pradesh
umarvan,902.3,9001.56,3082.32,5919.24,2315.87,1278.11,safe,24760,23140,47900,2022,Madhya Pradesh
hanumana,1141.45,7410.28,7410.28,0,2195.5,2195.5,safe,0,90470,96070,2022,Madhya Pradesh
patharia,1176,6011.45,5699.14,312.31,4595.51,4527.48,semi_critical,4383,85954,97000,2022,Madhya Pradesh
majholi,1154.15,6109.62,6109.62,0,1949.4,1949.4,safe,0,66784,73700,2022,Madhya Pradesh
indore urban,976.8,6555.77,6555.77,0,5772.79,5772.79,critical,0,53000,53000,2022,Madhya Pradesh
keolari,1323.6,7102.16,4941.9,2160.26,1682,1502.98,safe,25430,51840,82700,2022,Madhya Pradesh
pahadgarh,753,9581.29,3547.59,6033.7,2820.39,2247.46,safe,25200,47800,92200,2022,Madhya Pradesh
gandhwani,902.3,13090.79,6685.41,6405.38,3591.8,3303.39,safe,10733,62867,73600,2022,Madhya Pradesh
shujalpur,1036.1,14287.43,14287.43,0,13607.25,13607.25,over_exploited,0,81567,82567,2022,Madhya Pradesh
bhimpur,1081.3,9871.54,9871.54,0,2803.03,2803.03,safe,0,97800,115000,2022,Madhya Pradesh
ichhawar,1176.5,8152.87,6626.26,1526.61,5263.17,4910.68,safe,12022,40483,111085,2022,Madhya Pradesh
karanjiya,1376.7,4876.49,4876.49,0,485.83,485.83,safe,0,56480,70600,2022,Madhya Pradesh
bahoriband,1171.4,9259.96,8067.18,1192.78,3159.85,3025.87,safe,9348,88552,97900,2022,Madhya Pradesh
datia,963.8,7181.21,5263.57,1917.64,3633.2,2691.77,safe,42937,66163,110900,2022,Madhya Pradesh
amarpur,1376.7,3557.19,3557.19,0,365.83,365.83,safe,0,44800,56000,2022,Madhya Pradesh
bankhedi,1324.5,19273.75,19273.75,0,14898.49,14898.49,semi_critical,0,66900,78900,2022,Unknown
buxwaha,1092.7,7143.82,6847.85,295.97,5202.69,5099.59,semi_critical,1718,77395,90033,2022,Unknown
indore,976.8,9069.41,9069.41,0,11605.93,11605.93,over_exploited,0,49821,51000,2022,Madhya Pradesh
rajpur,719.2,10790.24,6807.41,3982.83,9015.27,7626.94,semi_critical,21413,51623,77390,2022,Madhya Pradesh
jamai,1139.25,12007,12007,0,4133.37,4133.37,safe,0,96604,142400,2022,Unknown
bijadandi,1427.7,4171.8,4171.8,0,427.78,427.78,safe,0,60880,76100,2022,Unknown
rithi,1171.4,3939.97,3517.38,422.59,1748.4,1669.47,safe,5500,45770,63500,2022,Unknown
teonthar,1141.45,10838.33,10838.33,0,4248.16,4248.16,safe,0,73690,79690,2022,Unknown
nowgaon,1092.7,9220.96,7088.63,2132.33,7094.98,6743.01,semi_critical,16033,66228,91368,2022,Unknown
mohgaon,1427.7,2561.07,2561.07,0,1264.66,1264.66,safe,0,32780,41900,2022,Unknown
tirla,902.3,8859.73,8859.73,0,7624.19,7624.19,critical,0,53400,53400,2022,Unknown
morena,753,12943.14,5860.36,7082.78,5783.85,3859.86,safe,45485,55615,106700,2022,Madhya Pradesh
gotegaon,1191,21367.21,15217.94,6149.27,11797.36,11274.99,safe,20900,51900,72800,2022,Unknown
kundam,1279.45,4689.3,4689.3,0,1342.38,1342.38,safe,0,83200,121000,2022,Unknown
barwani,719.2,6937.44,4693.55,2243.89,3359.03,2915.61,safe,14552,41248,76710,2022,Unknown
mehgaon,951,24002.08,15450.11,8551.97,6342.83,5131.45,safe,31257,65643,96900,2022,Unknown
shahpura,1279.45,10546.95,6673.7,3873.25,6026.59,4581.12,safe,17834,29275,53121,2022,Unknown
harsud,951.65,5462.34,5462.34,0,2790.47,2790.47,safe,0,53847,100050,2022,Unknown
badnagar,861.5,21142.17,21142.17,0,26074.47,26074.47,over_exploited,0,123595,123595,2022,Unknown
kusmi,1154.15,8401.6,8401.6,0,1951.01,1951.01,safe,0,70617,133400,2022,Unknown
jaithari,1423.6,7826.23,7826.23,0,1372.59,1372.59,safe,0,84000,97000,2022,Unknown
gairatganj,1207.3,8866.58,8866.58,0,5131.96,5131.96,safe,0,74600,92000,2022,Unknown
badarwas,994.9,12494.13,11557.67,936.46,9307.83,9049.96,semi_critical,3424,111752,121600,2022,Unknown
maiihar,1075.5,6926.74,6926.74,0,5783.49,5783.49,semi_critical,0,94400,112572,2022,Unknown
sanchi,1207.3,13895.74,13895.74,0,8050.23,8050.23,safe,0,105000,136000,2022,Unknown
jabera,1176,6165.55,2874.89,3290.66,2415.59,2250.7,safe,12038,51362,126200,2022,Unknown
sironj,1071.4,14339.99,12174.41,2165.58,9084.19,8894.59,safe,13755,89945,125500,2022,Unknown
meghnagar,835.1,3468.49,3468.49,0,1852.17,1852.17,safe,0,45400,50200,2022,Unknown
hoshangabad,1324.5,30021.96,19.1,30002.86,4047.16,2485.773266,safe,57400,0,66900,2022,Madhya Pradesh
panna,1182.993187,12495.43,11025.27,1470.16,3537.48,3332.94,safe,13514,184839,205253,2022,Madhya Pradesh
ghansaur,1323.6,7057.77,7057.77,0,1717.91,1717.91,safe,0,83790,96300,2022,Unknown
rampur karchuliyan,1141.45,5028.14,2968.5,2059.64,3253.25,2401.34,safe,19423,40387,62810,2022,Unknown
paraswada,1471.6,8915.56,8915.56,0,392.44,392.44,safe,0,116750,124050,2022,Unknown
pati,719.2,2808.32,2609.26,199.06,1747.53,1695.2,safe,1040,21552,71220,2022,Punjab
neemuch,854.85,15517.32,14810.12,707.2,14973.57,14542.32,over_exploited,4638,98862,108500,2022,Madhya Pradesh
rajgarh,972,16885.54,16885.54,0,11702.77,11702.77,semi_critical,0,110500,110500,2022,Madhya Pradesh
sarangpur,972,14917.33,14917.33,0,14853.27,14853.27,over_exploited,0,90500,90500,2022,Unknown
moman badodiya,1036.1,13866.25,13866.25,0,16689.23,16689.23,over_exploited,0,88176,90405,2022,Unknown
khchrod,1116.3,19430.84,19430.84,0,13462.89,13462.89,semi_critical,0,110178,129268,2022,Unknown
bhitarwar,870,25528.36,6506.5,19021.86,4639.95,3073.74,safe,53133,30767,90000,2022,Unknown
damoh,1176,8216.9,6286.62,1930.28,3576.91,3427.95,safe,13815,71085,130400,2022,Madhya Pradesh
bhikangaon,782.9,12529.34,8608.94,3920.4,5349.89,4801.76,safe,17708,73772,91480,2022,Unknown
naigarhi,1141.45,2781.06,2781.06,0,1719.16,1719.16,safe,0,35790,37790,2022,Unknown
dindori,1376.7,6533.61,6533.61,0,690.52,690.52,safe,0,94160,117700,2022,Unknown
khaknar,883.8,17402.41,15937.66,1464.75,10839.09,10581.79,safe,5423,134627,144700,2022,Unknown
dharmpuri,902.3,8072.96,1625.67,6447.29,2144.2,1027.81,safe,28731,14169,42900,2022,Madhya Pradesh
rahatgarh,1205,9694.98,9395.03,299.95,5554.45,5497.58,safe,1971,87097,98500,2022,Unknown
berasia,1126.46,20200.86,20200.86,0,14474.93,14474.93,semi_critical,0,136400,142400,2022,Unknown
mohkheda,1139.25,11080.84,8782,2298.84,7870.76,7291.07,semi_critical,6380,64506,77500,2022,Unknown
prabhat pattan,1081.3,10895.04,10001.48,893.56,2389.48,2178.69,safe,3326,103274,113300,2022,Unknown
jawad,854.85,12090.32,11344.84,745.48,11909.05,11590.18,over_exploited,6502,150442,161944,2022,Madhya Pradesh
sabalgarh,753,13985.15,6203.49,7781.66,4341.74,3234.17,safe,19000,39000,71000,2022,Unknown
shivpuri,994.9,12596.81,12076.14,520.67,6449.66,6320.9,safe,2750,181286,195600,2022,Madhya Pradesh
bichhua,1139.25,6307.71,6307.71,0,3022.63,3022.63,safe,0,41384,52700,2022,Unknown
tikamgarh,943.6,11178.02,8706.82,2471.2,8354.56,7276.35,semi_critical,10169,74791,86760,2022,Madhya Pradesh
panagar,1279.45,8785.39,6665.99,2119.4,5331.61,4929.53,safe,7500,19180,26680,2022,Unknown
sitamau,753.7,18211.4,16448.3,1763.1,21465.84,20711.35,over_exploited,9738,116333,127629,2022,Unknown
thikri,719.2,15387.2,7228.73,8158.47,7429.57,6759.39,safe,17473,54442,75700,2022,Unknown
birsa,1471.6,10595.57,10595.57,0,509.54,509.54,safe,0,135798,141543,2022,Unknown
gogawan,782.9,5535.5,3775.56,1759.94,3123.18,2551.58,safe,9693,31017,40710,2022,Unknown
vijaypur,799.2,10010.09,8524.46,1485.63,6775.59,6137.75,semi_critical,11000,152700,289300,2022,Unknown
lateri,1071.4,9439.04,9439.04,0,4732.54,4732.54,safe,0,89200,98600,2022,Unknown
vidisha,1071.4,18492.6,10779.54,7713.06,9327.03,7976.74,safe,40080,66190,107400,2022,Madhya Pradesh
guna,1082,15822.01,14759.11,1062.9,10067.66,9896.54,safe,4768,139347,157815,2022,Madhya Pradesh
sohawal,1075.5,10320.62,8989.96,1330.66,6889.72,6708.55,semi_critical,10442,66750,77192,2022,Unknown
ajaigarh,1182.9,18296.36,17258.21,1038.15,6572.84,6337.63,safe,2762,87168,91055,2022,Madhya Pradesh
dahi,902.3,9518.9,6007.95,3510.95,3197.27,3075.93,safe,2932,45268,48200,2022,Unknown
rama,835.1,2709.16,2709.16,0,1508.48,1508.48,safe,0,45700,59400,2022,Telangana
murwara,1171.4,7304.92,5860.06,1444.86,3667.82,3414.81,safe,9278,56922,66200,2022,Unknown
begamganj,1207.3,10678.03,10678.03,0,6009.13,6009.13,safe,0,89300,91200,2022,Unknown
bagli,1069,21570.08,21082.99,487.09,13848.53,13738.61,safe,3848,177000,204540,2022,Unknown
burhar,1131.4,13881.88,13881.88,0,1507.84,1507.84,safe,0,111400,134700,2022,Unknown
narsinghgarh,972,17614.44,17614.44,0,16493.43,16493.43,critical,0,136800,136800,2022,Unknown
manawar,902.3,10276.97,2641.32,7635.65,3167.2,1611.4,safe,31555,23945,55500,2022,Unknown
chanderi,926,7010.98,6317.99,692.99,4713.5,4545.51,semi_critical,4799,104071,113070,2022,Unknown
seoni,1323.6,11002.19,8817,2185.19,7159.08,6574.79,safe,22290,106910,136300,2022,Madhya Pradesh
chawarpatha,1191,23872.01,23872.01,0,14709.3,14709.3,safe,0,91900,93300,2022,Unknown
menhadwani,1376.7,4534.9,4534.9,0,450.87,450.87,safe,0,52800,68500,2022,Unknown
sirmour,1141.45,5576.27,3795.93,1780.34,3566.58,2656.97,safe,21510,64810,91320,2022,Unknown
batiyagarh,1176,7696.43,7074.83,621.6,4681.98,4555.48,safe,4095,85087,122500,2022,Unknown
ghughari,1427.7,6426.13,6426.13,0,498.41,498.41,safe,0,88080,110100,2022,Unknown
ghatia,1116.3,13493.18,13493.18,0,15661.65,15661.65,over_exploited,0,64163,64163,2022,Unknown
niwas,1427.7,3825.6,3825.6,0,903.82,903.82,safe,0,38880,84600,2022,Unknown
ramnagar,1075.5,6245.13,6245.13,0,2292.14,2292.14,safe,0,50354,60054,2022,Unknown
rampur naikin,1154.15,7238.13,5502.54,1735.59,2320.27,2159.82,safe,17110,77944,119400,2022,Unknown
rewa,1141.45,5710.47,3300.52,2409.95,3725.8,2776.25,safe,25008,45412,70420,2022,Madhya Pradesh
waidhan,1120.7,15888.96,14994.41,894.55,6650.67,6411.17,safe,4452,135448,190400,2022,Unknown
karkeli,1243,10110.84,10110.84,0,2558.59,2558.59,safe,0,156000,173000,2022,Unknown
anuppur,1423.6,7512.96,7512.96,0,521.97,521.97,safe,0,55700,59000,2022,Unknown
deosar,1120.7,12917.32,12693.93,223.39,3829.13,3759.59,safe,2150,137960,182200,2022,Unknown
malthon,1205,7739.66,7593.95,145.71,3559.8,3537.94,safe,979,76901,83800,2022,Unknown
karera,994.9,7990.05,6166.7,1823.35,3933.17,3421.33,safe,13022,86878,101400,2022,Unknown
beohari,1131.4,6666.9,5949.37,717.53,1418.29,1345.4,safe,5047,89453,111000,2022,Unknown
gohparu,1131.4,10380.54,10380.54,0,513.43,513.43,safe,0,81000,93500,2022,Unknown
rajnagar,1092.7,17642.75,14906.72,2736.03,9904.43,9264.81,safe,24804,106271,137835,2022,Unknown
bhanpura,753.7,7571.2,4402.11,3169.09,6117.66,4740.07,semi_critical,20590,30058,105118,2022,Unknown
mandsaur,753.7,16949.26,15864.13,1085.13,17580.7,17154.16,over_exploited,4986,120700,126608,2022,Madhya Pradesh
patera,1176,4136.68,3525.74,610.94,2434.02,2341.78,safe,5851,51849,72300,2022,Unknown
sausar,1139.25,8290.03,6958.66,1331.37,3941.32,3685.67,safe,6931,62382,80800,2022,Unknown
jaora,992.85,16510.47,16510.47,0,25337.17,25337.17,over_exploited,0,76300,76300,2022,Madhya Pradesh
amarwara,1139.25,10538.58,10538.58,0,6217.02,6217.02,safe,0,93955,102200,2022,Unknown
nateran,1071.4,11421.13,8667.29,2753.84,6541.43,6377.54,safe,20211,77489,113000,2022,Unknown
basoda,1071.4,13828.73,13464.14,364.59,9125.75,8835.81,safe,2241,106559,122300,2022,Unknown
obedullaganj,1207.3,9671.42,9671.42,0,8180.82,8180.82,semi_critical,0,86440,174940,2022,Unknown
budni,1176.5,11367.22,3384.83,7982.39,3703.3,2492.45,safe,29876,29897,107511,2022,Unknown
vijayraghavgarh,1171.4,6293.94,6293.94,0,3534.83,3534.83,safe,0,74300,75100,2022,Unknown
dhar,902.3,10671.58,10671.58,0,14737,14737,over_exploited,0,60200,60200,2022,Madhya Pradesh
palera,943.6,7122.06,6174.32,947.74,5541.9,5398.29,semi_critical,2468,69154,74822,2022,Unknown
lalbarra,1471.6,7280.44,5220.14,2060.3,2365.3,1748.75,safe,20858,49374,71592,2022,Unknown
khirkiya,1374.5,6960.35,6960.35,0,4489.1,4489.1,safe,0,79440,124000,2022,Unknown
jhiranya,782.9,8946.43,7220.53,1725.9,4496.18,4250.03,safe,5442,61027,118900,2022,Unknown
udaipura,1207.3,12058.1,12058.1,0,6863,6863,safe,0,64200,81700,2022,Rajasthan
manasa,854.85,12557.5,11934.04,623.46,8989.26,8633.83,semi_critical,6836,108464,149600,2022,Unknown
bina,1205,12602.77,12507.26,95.51,7908.26,7871.37,safe,410,81690,82600,2022,Unknown
kurai,1323.6,14402.98,14402.98,0,3354.33,3354.33,safe,0,166970,178300,2022,Unknown
malhargarh,753.7,11639.53,9296.21,2343.32,8853.23,8065.06,semi_critical,12931,67284,80631,2022,Unknown
jaisinagar,1205,10627.57,10231.45,396.12,6484.05,6409.6,safe,2277,74213,91300,2022,Unknown
ambah,753,7566.31,0,7566.31,4040.11,2485.773266,safe,51100,0,51100,2022,Unknown
bhander,963.8,14064.36,5024.53,9039.83,3330.04,2273.08,safe,41252,23248,65600,2022,Unknown
bajang,1376.7,3289.38,3289.38,0,359.43,359.43,safe,0,43600,54500,2022,Unknown
shahpura,1376.7,7662.55,7662.55,0,1235.32,1235.32,safe,0,111840,139800,2022,Unknown
ater,951,15531.83,10821.92,4709.91,5036.51,4468.84,safe,16074,45126,61200,2022,Unknown
mawai,1427.7,9382.4,9382.4,0,1205.62,1205.62,safe,0,117040,146300,2022,Unknown
burhanpur,883.8,19279,17689.74,1589.26,12865.54,12586.51,semi_critical,5866,111134,178600,2022,Madhya Pradesh
seoni malwa,1324.5,44942.44,16705.58,28236.86,4140.47,3239.48,safe,58080,75827,137500,2022,Madhya Pradesh
barghat,1323.6,6951.78,5808.16,1143.62,3585,3311.03,safe,12285,56885,72000,2022,Unknown
shajapur,1036.1,12825.18,12825.18,0,10035.22,10035.22,semi_critical,0,88307,91786,2022,Madhya Pradesh
harrai,1139.25,8418.33,8418.33,0,3171.17,3171.17,safe,0,127238,210700,2022,Unknown
bhagwanpura,782.9,7261.37,5000.7,2260.67,3193.23,2990,safe,7917,44481,131800,2022,Unknown
ashta,1176.5,14649.36,13366.84,1282.52,12327.47,11921.8,critical,7707,110484,144257,2022,Unknown
pushparajgarh,1423.6,8664.32,8664.32,0,832.91,832.91,safe,0,120500,176400,2022,Madhya Pradesh
khairlanji,1471.6,4398.52,3045.85,1352.67,2188.49,1925.4,safe,13658,31730,48788,2022,Unknown
kesala,1324.5,18095.62,9020.71,9074.91,4064.03,3924.15,safe,16570,64685,88300,2022,Unknown
nalkheda,1036.1,10594.81,10594.81,0,11866.22,11866.22,over_exploited,0,56217,60732,2022,Unknown
samnapur,1376.7,4554.08,4554.08,0,576.77,576.77,safe,0,52320,65400,2022,Unknown
khaniyadhana,994.9,10257.81,8359.86,1897.95,7739.32,7089.84,semi_critical,20650,102594,129200,2022,Unknown
mauganj,1141.45,4114.43,4114.43,0,2775,2775,semi_critical,0,44730,52730,2022,Unknown
biaora,972,17931.12,17931.12,0,15089.1,15089.1,semi_critical,0,114800,114800,2022,Unknown
sawer,976.8,13084.61,13084.61,0,13821.02,13821.02,over_exploited,0,76025,76900,2022,Unknown
majhgawan,1075.5,12944.66,12944.66,0,4810.11,4810.11,safe,0,139912,164882,2022,Unknown
saikheda,1191,13582.8,13582.8,0,8791.73,8791.73,safe,0,61000,61000,2022,Unknown
rehli,1205,7166.95,6918.67,248.28,3962.51,3899.08,safe,2137,99843,112500,2022,Unknown
seondha,963.8,21830.29,10970.35,10859.94,7501.53,4340.73,safe,47908,44692,92600,2022,Unknown
babai,1324.5,32553.11,13.44,32539.67,2942.12,2485.773266,safe,89200,0,89200,2022,Unknown
ranapur,835.1,2126.65,2126.65,0,1096.72,1096.72,safe,0,38400,40400,2022,Unknown
niwali,719.2,3863.35,3763.08,100.27,2494.97,2459.75,safe,470,35091,59610,2022,Unknown
kirnapur,1471.6,6926.89,6926.89,0,2038.19,2038.19,safe,0,76240,81040,2022,Unknown
bargi,1279.45,5246.72,3464.6,1782.12,2931.47,2581.43,safe,13640,27350,72794,2022,Unknown
sardarpur,902.3,20081.37,14809.56,5271.81,8492.34,7715.33,safe,17730,110270,128000,2022,Unknown
nasrullaganj,1176.5,14220.66,8457.63,5763.03,5934.46,5014.73,safe,35009,53833,136522,2022,Unknown
punasa,951.65,49433.9,2605.8,46828.1,4388.87,2035.35,safe,66420,24080,94500,2022,Unknown
majholi,1279.45,8697.28,8697.28,0,3467.72,3467.72,safe,0,62265,62265,2022,Madhya Pradesh
pohari,994.9,14097.92,13519.58,578.34,6314.05,6220.81,safe,2399,149119,157300,2022,Unknown
baldi,951.65,6448.89,6448.89,0,3359.56,3359.56,safe,0,54524,111700,2022,Unknown
kotma,1423.6,4822.85,4822.85,0,3621.86,3621.86,semi_critical,0,34000,40000,2022,Unknown
unchehara,1075.5,8462.84,7007.32,1455.52,4541.67,4459.41,safe,1666,74257,89691,2022,Unknown
jabalpur urban,1279.45,3558.48,3558.48,0,2850.36,2850.36,semi_critical,0,36840,39449,2022,Madhya Pradesh
petlawad,835.1,11536.76,7305.29,4231.47,2886.16,2477.77,safe,17018,74635,97700,2022,Unknown
niwari,943.6,7267.05,5710.29,1556.76,4844.07,4245.53,semi_critical,5289,53311,60600,2022,Unknown
patan,1279.45,16056.63,8601.32,7455.31,6253.53,3667.98,safe,29902,70498,100400,2022,Unknown
narsinghpur,1191,23230.83,18427.04,4803.79,16303.84,15745.8,semi_critical,18631,65769,96900,2022,Unknown
dewas,1069,16351.9,16351.9,0,17223.8,17223.8,over_exploited,0,99961,100744,2022,Madhya Pradesh
pali,1243,7980.84,7980.84,0,772.73,772.73,safe,0,81300,91000,2022,Rajasthan
badwara,1171.4,8731.64,7368.39,1363.25,4132.46,3904.75,safe,9278,83580,94200,2022,Unknown
alot,992.85,16884.25,16884.25,0,18142.59,18142.59,over_exploited,0,94500,94500,2022,Unknown
shahnagar,1182.9,7164.33,5999.79,1164.54,2297.14,2163.52,safe,8908,114191,143999,2022,Unknown
ghoda dongri,1081.3,15052.09,14515.67,536.42,2876.39,2750.93,safe,1560,112440,130000,2022,Unknown
bijawar,1092.7,13348.96,13204.33,144.63,9026.03,8971.12,semi_critical,1004,140839,159043,2022,Madhya Pradesh
mahidpur,861.5,17863.09,17863.09,0,13647.14,13647.14,semi_critical,0,113453,113453,2022,Unknown
kasrawad,782.9,18380.22,7133.44,11246.78,5934.1,4858.91,safe,44357,56843,101200,2022,Unknown
manpur,1243,18481.9,18481.9,0,3075.04,3075.04,safe,0,184600,189900,2022,Unknown
badi,1207.3,24809.24,7452.12,17357.12,3596.25,2011.05,safe,58600,83200,141900,2022,Unknown
shohagpur,1324.5,11905.38,5038.96,6866.42,4351.39,3735.87,safe,15373,28017,111300,2022,Unknown
sendhwa,719.2,9315.39,7392.46,1922.93,4636.38,4355.86,safe,9275,69472,122530,2022,Unknown
chichli,1191,19550.57,19550.57,0,10700.32,10700.32,safe,0,85600,96000,2022,Unknown
nainpur,1427.7,7026.79,3956.73,3070.06,1381.07,1111.42,safe,18135,45715,79800,2022,Unknown
kailaras,753,8556.38,2766.15,5790.23,2887.24,1607.14,safe,29144,23150,52294,2022,Unknown
bhind,951,14201.61,8216.15,5985.46,4341.59,3852.91,safe,25614,50586,76200,2022,Unknown
pipariya,1324.5,22481.4,17888.53,4592.87,7891.57,7429.79,safe,17000,69300,98300,2022,Unknown
chaurai,1139.25,12685.54,12685.54,0,7763.61,7763.61,safe,0,113973,117200,2022,Unknown
sidhi,1154.15,4540.58,3951.29,589.29,2900.05,2753.47,safe,9500,52450,84400,2022,Madhya Pradesh
nisarpur,902.3,6786.02,1888.34,4897.68,2165.87,930.95,safe,20850,14450,35300,2022,Unknown
gwalior urban,870,5482.11,5482.11,0,3795.16,3795.16,semi_critical,0,42335,42335,2022,Madhya Pradesh
sagar,1205,15542.15,15176.78,365.37,7764.71,7718.04,safe,3187,104383,117300,2022,Madhya Pradesh
jobat,836.2,2286.27,2286.27,0,1416.35,1416.35,safe,0,36900,38900,2022,Unknown
khilchipur,972,11641.1,11641.1,0,9928.19,9928.19,semi_critical,0,78400,78400,2022,Unknown
bada malhera,1092.7,13130.39,10321.93,2808.46,7315.39,7018.46,safe,8862,80638,108235,2022,Unknown
mhow,976.8,11245.1,10648.78,596.32,8435.06,8121.53,semi_critical,3544,98548,104700,2022,Unknown
khandwa,951.65,10424.45,9706.52,717.93,6537.65,6328.33,safe,4084,78391,83100,2022,Madhya Pradesh
prithvipur,943.6,12376.62,10827.48,1549.14,7812.22,7464.58,safe,7541,86421,95862,2022,Unknown
shahnagar,1205,6636.14,4676.61,1959.53,3114.27,2920.78,safe,8380,55470,69700,2022,Unknown
kesli,1205,10452.22,9443.07,1009.15,6333.47,6107.01,safe,5789,60071,79100,2022,Unknown
agar,1036.1,11861.61,8767.87,3093.74,6485.45,5843.74,safe,11375,54071,72440,2022,Andhra Pradesh
bagh,902.3,6621.07,5167.95,1453.12,1894.22,1762.85,safe,4007,47193,51200,2022,Jharkhand
chitrangi,1120.7,8517.04,8517.04,0,3376.97,3376.97,safe,0,171250,194600,2022,Unknown
lanji,1471.6,9134.17,6850.97,2283.2,1608.99,1292.4,safe,21423,64473,87126,2022,Unknown
ashoknagar,926,10523.51,9830.02,693.49,6702.81,6510.87,safe,3506,121297,124803,2022,Unknown
nagod,1075.5,11572.05,10116.28,1455.77,7551.21,7485.73,safe,1750,89750,95000,2022,Unknown
mandla,1427.7,4590.2,3263.18,1327.02,1381.24,1176.94,safe,7897,41463,61700,2022,Unknown
pichhore,994.9,7696.34,5782.86,1913.48,5630.77,5056.71,semi_critical,14559,88325,109100,2022,Unknown
kannod,1069,13577.98,10881.16,2696.82,7449.59,6988.68,safe,14696,73396,146300,2022,Unknown
khalwa,951.65,11637.55,11637.55,0,6715.37,6715.37,safe,0,97000,148900,2022,Unknown
kareli,1191,22324.98,18437.66,3887.32,13192.65,13032.5,safe,13238,70162,93300,2022,Unknown
pandhurna,1139.25,11301.09,11301.09,0,9623.09,9623.09,semi_critical,0,87186,97200,2022,Unknown
