place,rainfall,groundwater_refilled_total,groundwater_refilled_nonirrigated,groundwater_refilled_irrigated,groundwater_used_total,groundwater_used_nonirrigated,groundwater_status,land_irrigated,land_nonirrigated,land_total,year,state
khalapur,2863.670384,3923.774647,3702.689995,221.0846517,347.9994722,306.2829967,safe,788,30773,31561,2022,Unknown
junnar,760.2807741,17149.44501,10827.97358,6321.471433,13728.73081,9676.01659,semi_critical,20308.97,89448.47,109757.44,2022,Unknown
bhokardan,662.0425438,13896.31829,13247.00233,649.3159626,7924.478565,7599.212958,safe,4155,123161.26,127316.26,2022,Unknown
murbad,2435.661056,3771.530023,3437.540023,333.99,342.2582648,299.1682648,safe,1395,52983,54378,2022,Unknown
sadak arjuni,1565.220167,9058.950204,6073.251971,2985.698233,3021.800888,2015.895727,safe,5987.57,54783.24,60770.81,2022,Unknown
jamkhed,652,6563.05,6563.05,3414.604293,3877.95,3877.95,safe,0,68603,68603,2022,Unknown
kaij,723.2709293,14906.96385,14906.96385,3414.604293,9049.369711,9049.369711,safe,0,132030,132030,2022,Unknown
pen,2798.895326,2514.774278,2410.867006,103.907272,247.67014,222.1360882,safe,510,21654,22164,2022,Unknown
balapur,769.6347669,4771.507698,4313.613759,352.0185095,2714.342817,2499.656766,safe,2820.63,62704.45,67013.08,2022,Unknown
patan,1790.612522,3506.833444,3506.833444,3414.604293,2153.471147,2153.471147,safe,0,93138,93138,2022,Unknown
nandgaon,779.5916236,7699.663745,7438.003745,261.66,5646.142791,5478.102791,semi_critical,902,69693,70595,2022,Chhattisgarh
shirpur,795.2110584,17269.13,11721.46,5547.67,7769.08,5067.11,safe,11848,118931,130779,2022,Unknown
bhadgaon,697.4100108,10808.55153,2107.94781,8700.603721,7993.432698,1589.175489,semi_critical,29874,19268,49142,2022,Unknown
kalamb,715.8990696,10082.39027,9927.05573,155.334538,6783.925652,6673.378288,semi_critical,1520,84138.4,85658.4,2022,Unknown
doudamarg,4061.2,668.5860443,668.5860443,3414.604293,352.8683883,352.8683883,safe,0,11509.59,11509.59,2022,Unknown
karvir,1719.901765,13981.34255,13116.18947,865.1530805,5356.163657,5201.250045,safe,975.95,48245.04,49220.99,2022,Unknown
pachora,713.2102325,10938.00497,7735.797808,3202.207162,7621.350223,5204.225297,semi_critical,8789,70820,79609,2022,Unknown
digras,936.1954015,6267.407951,4781.26081,1486.147141,2444.104794,2206.554246,safe,8650.68,37719.92,46370.6,2022,Unknown
yawal,708.9662596,8792.147685,7518.522685,1273.625,8963.710237,7822.255237,over_exploited,7526,76243,83769,2022,Unknown
chalisgaon,640.6886428,14894.64692,11318.69163,3575.955283,10740.25929,8171.705594,semi_critical,14959,88376,103335,2022,Unknown
ghatanji,1090.778982,11220.9541,9490.70012,1730.253978,1732.650182,1328.67798,safe,12644.02,63146,75790.02,2022,Unknown
gevrai,686.043726,18456.25646,13393.01347,5063.24299,11894.68962,9323.086838,safe,22944,124977,147921,2022,Unknown
gadhinglaj,1305.34326,12503.87829,12503.87829,3414.604293,7131.147428,7131.147428,safe,0,47755.05,47755.05,2022,Unknown
karjat,555.5291181,12356.77459,11374.22459,982.55,7418.66377,7219.16377,safe,6259,133139,139398,2022,Unknown
bhiwapur,1274.3,4354.255297,3780.215297,574.04,2124.811195,1771.941195,safe,3867,51898,55765,2022,Unknown
vaibhavvwadi,3627.507433,1485.466303,1485.466303,3414.604293,672.2056081,672.2056081,safe,0,17782.87,17782.87,2022,Unknown
roha,3040.462995,4690.604649,3001.415996,1689.188653,460.4231046,422.5494747,safe,2204,38777,40981,2022,Haryana
karjat,3278,3764.57,2903.06,861.51,342.18,296.93,safe,2478,35661,38139,2022,Unknown
bhadravati,1208.840709,13903.48532,13405.71532,497.77,2917.662776,2758.922776,safe,2531,140090,142621,2022,Unknown
vaijapur,494.9534704,15717.44774,10444.78584,5272.661904,11615.87493,7678.419222,semi_critical,41044,93322,134366,2022,Unknown
lakhandur,1543.958004,40656.40752,5097.841,35558.56652,3182.170841,2753.772553,safe,11858,33180,45038,2022,Unknown
narkhed,1008.42679,9906.251396,7937.011396,1969.24,6027.777758,4972.697758,safe,4783,59540,64323,2022,Unknown
gaganbawada,5241.023311,4023.925188,4023.925188,3414.604293,756.1692419,756.1692419,safe,0,12218.74,12218.74,2022,Unknown
chopda,628.1723453,11770.69704,6579.377042,5191.32,9201.563872,5433.203872,semi_critical,40448,69732,110180,2022,Unknown
parner,573.1100535,17454.0181,11880.211,5025.597095,6681.801424,4581.092586,safe,34472,133442,177332,2022,Unknown
shahapur,2609.421677,6417.538172,4805.049929,1612.488243,716.7351422,639.0757391,safe,8007,67668,75675,2022,Unknown
pobhurna,1267.313419,4711.924336,3390.948432,1320.975903,1236.057801,777.467198,safe,8838,27625,36463,2022,Unknown
